Admission No,Student Name,Class,Term,Year,Subject,Score,Grade,Class Rank,Teacher Comment
ADM-1179,Patrick Ruto,Grade 3 A,Term 1,2026,Kiswahili,83,A,7,Average. Put more effort into homework.
ADM-1179,Patrick Ruto,Grade 3 A,Term 1,2026,Mathematics,72,B+,15,Very good performance. Focus on the few weak areas.
ADM-1179,Patrick Ruto,Grade 3 A,Term 1,2026,Environmental Activities,75,A-,11,Below average. Extra tuition recommended.
ADM-1179,Patrick Ruto,Grade 3 A,Term 1,2026,Religious Education,73,B+,16,Steady progress. Do more revision.
ADM-1179,Patrick Ruto,Grade 3 A,Term 1,2026,Creative Activities,82,A,6,Good effort. Can improve with more practice.
ADM-1179,Patrick Ruto,Grade 3 A,Term 1,2026,Physical & Health Education,88,A,5,Needs significant improvement. Revise earlier topics.
ADM-1180,Beatrice Mpaine,Grade 3 A,Term 1,2026,English,82,A,8,Average. Put more effort into homework.
ADM-1180,Beatrice Mpaine,Grade 3 A,Term 1,2026,Kiswahili,78,A-,11,Average. Put more effort into homework.
ADM-1180,Beatrice Mpaine,Grade 3 A,Term 1,2026,Mathematics,71,B+,17,Excellent work. Keep it up!
ADM-1180,Beatrice Mpaine,Grade 3 A,Term 1,2026,Environmental Activities,74,B+,12,Satisfactory. Needs consistent practice.
ADM-1180,Beatrice Mpaine,Grade 3 A,Term 1,2026,Religious Education,79,A-,8,Below average. Extra tuition recommended.
ADM-1180,Beatrice Mpaine,Grade 3 A,Term 1,2026,Creative Activities,72,B+,18,Satisfactory. Needs consistent practice.
ADM-1180,Beatrice Mpaine,Grade 3 A,Term 1,2026,Physical & Health Education,85,A,6,Satisfactory. Needs consistent practice.
ADM-1181,Meshack Hassan,Grade 3 A,Term 1,2026,English,80,A,9,Needs significant improvement. Revise earlier topics.
ADM-1181,Meshack Hassan,Grade 3 A,Term 1,2026,Kiswahili,72,B+,17,Good effort. Can improve with more practice.
ADM-1181,Meshack Hassan,Grade 3 A,Term 1,2026,Mathematics,79,A-,7,Average. Put more effort into homework.
ADM-1181,Meshack Hassan,Grade 3 A,Term 1,2026,Environmental Activities,66,B,18,Excellent work. Keep it up!
ADM-1181,Meshack Hassan,Grade 3 A,Term 1,2026,Religious Education,74,B+,14,Satisfactory. Needs consistent practice.
ADM-1181,Meshack Hassan,Grade 3 A,Term 1,2026,Creative Activities,74,B+,16,Good effort. Can improve with more practice.
ADM-1181,Meshack Hassan,Grade 3 A,Term 1,2026,Physical & Health Education,76,A-,13,Excellent work. Keep it up!
ADM-1182,Dennis Barasa,Grade 3 A,Term 1,2026,English,44,D+,32,Homework not done regularly.
ADM-1182,Dennis Barasa,Grade 3 A,Term 1,2026,Kiswahili,64,B-,24,Very good performance. Focus on the few weak areas.
ADM-1182,Dennis Barasa,Grade 3 A,Term 1,2026,Mathematics,61,B-,28,Good effort. Can improve with more practice.
ADM-1182,Dennis Barasa,Grade 3 A,Term 1,2026,Environmental Activities,58,C+,26,Satisfactory. Needs consistent practice.
ADM-1182,Dennis Barasa,Grade 3 A,Term 1,2026,Religious Education,44,D+,32,Frequent absenteeism is affecting performance.
ADM-1182,Dennis Barasa,Grade 3 A,Term 1,2026,Creative Activities,52,C,28,Steady progress. Do more revision.
ADM-1182,Dennis Barasa,Grade 3 A,Term 1,2026,Physical & Health Education,63,B-,26,Satisfactory. Needs consistent practice.
ADM-1183,Martha Oluoch,Grade 3 A,Term 1,2026,English,70,B+,20,Satisfactory. Needs consistent practice.
ADM-1183,Martha Oluoch,Grade 3 A,Term 1,2026,Kiswahili,63,B-,26,Good effort. Can improve with more practice.
ADM-1183,Martha Oluoch,Grade 3 A,Term 1,2026,Mathematics,76,A-,9,Below average. Extra tuition recommended.
ADM-1183,Martha Oluoch,Grade 3 A,Term 1,2026,Environmental Activities,58,C+,27,Excellent work. Keep it up!
ADM-1183,Martha Oluoch,Grade 3 A,Term 1,2026,Religious Education,68,B,23,Excellent work. Keep it up!
ADM-1183,Martha Oluoch,Grade 3 A,Term 1,2026,Creative Activities,67,B,22,Satisfactory. Needs consistent practice.
ADM-1183,Martha Oluoch,Grade 3 A,Term 1,2026,Physical & Health Education,59,C+,28,Steady progress. Do more revision.
ADM-1184,Kennedy Oluoch,Grade 3 A,Term 1,2026,English,52,C,30,Average. Put more effort into homework.
ADM-1184,Kennedy Oluoch,Grade 3 A,Term 1,2026,Kiswahili,51,C,32,Satisfactory. Needs consistent practice.
ADM-1184,Kennedy Oluoch,Grade 3 A,Term 1,2026,Mathematics,60,B-,29,Good effort. Can improve with more practice.
ADM-1184,Kennedy Oluoch,Grade 3 A,Term 1,2026,Environmental Activities,41,D+,32,Lacks interest; encourage reading at home.
ADM-1184,Kennedy Oluoch,Grade 3 A,Term 1,2026,Religious Education,45,C-,30,Satisfactory. Needs consistent practice.
ADM-1184,Kennedy Oluoch,Grade 3 A,Term 1,2026,Creative Activities,41,D+,32,Low effort despite ability. Needs encouragement.
ADM-1184,Kennedy Oluoch,Grade 3 A,Term 1,2026,Physical & Health Education,54,C,29,Excellent work. Keep it up!
ADM-1185,Priscilla Mwangi,Grade 3 A,Term 1,2026,English,57,C+,27,Very good performance. Focus on the few weak areas.
ADM-1185,Priscilla Mwangi,Grade 3 A,Term 1,2026,Kiswahili,75,A-,14,Steady progress. Do more revision.
ADM-1185,Priscilla Mwangi,Grade 3 A,Term 1,2026,Mathematics,72,B+,16,Excellent work. Keep it up!
ADM-1185,Priscilla Mwangi,Grade 3 A,Term 1,2026,Environmental Activities,68,B,16,Excellent work. Keep it up!
ADM-1185,Priscilla Mwangi,Grade 3 A,Term 1,2026,Religious Education,83,A,5,Satisfactory. Needs consistent practice.
ADM-1185,Priscilla Mwangi,Grade 3 A,Term 1,2026,Creative Activities,74,B+,17,Average. Put more effort into homework.
ADM-1185,Priscilla Mwangi,Grade 3 A,Term 1,2026,Physical & Health Education,73,B+,15,Good effort. Can improve with more practice.
ADM-1186,Julia Wanjala,Grade 3 A,Term 1,2026,English,60,B-,25,Excellent work. Keep it up!
ADM-1186,Julia Wanjala,Grade 3 A,Term 1,2026,Kiswahili,75,A-,15,Excellent work. Keep it up!
ADM-1186,Julia Wanjala,Grade 3 A,Term 1,2026,Mathematics,71,B+,18,Excellent work. Keep it up!
ADM-1186,Julia Wanjala,Grade 3 A,Term 1,2026,Environmental Activities,50,C,30,Average. Put more effort into homework.
ADM-1186,Julia Wanjala,Grade 3 A,Term 1,2026,Religious Education,58,C+,29,Very good performance. Focus on the few weak areas.
ADM-1186,Julia Wanjala,Grade 3 A,Term 1,2026,Creative Activities,68,B,20,Satisfactory. Needs consistent practice.
ADM-1186,Julia Wanjala,Grade 3 A,Term 1,2026,Physical & Health Education,73,B+,16,Good effort. Can improve with more practice.
ADM-1187,Donald Mutoro,Grade 3 A,Term 1,2026,English,71,B+,18,Excellent work. Keep it up!
ADM-1187,Donald Mutoro,Grade 3 A,Term 1,2026,Kiswahili,79,A-,10,Average. Put more effort into homework.
ADM-1187,Donald Mutoro,Grade 3 A,Term 1,2026,Mathematics,78,A-,8,Needs significant improvement. Revise earlier topics.
ADM-1187,Donald Mutoro,Grade 3 A,Term 1,2026,Environmental Activities,85,A,7,Good effort. Can improve with more practice.
ADM-1187,Donald Mutoro,Grade 3 A,Term 1,2026,Religious Education,67,B,24,Excellent work. Keep it up!
ADM-1187,Donald Mutoro,Grade 3 A,Term 1,2026,Creative Activities,60,B-,25,Average. Put more effort into homework.
ADM-1187,Donald Mutoro,Grade 3 A,Term 1,2026,Physical & Health Education,79,A-,8,Steady progress. Do more revision.
ADM-1188,Eric Nandwa,Grade 3 A,Term 1,2026,English,47,C-,31,Good effort. Can improve with more practice.
ADM-1188,Eric Nandwa,Grade 3 A,Term 1,2026,Kiswahili,54,C,31,Good effort. Can improve with more practice.
ADM-1188,Eric Nandwa,Grade 3 A,Term 1,2026,Mathematics,55,C+,30,Steady progress. Do more revision.
ADM-1188,Eric Nandwa,Grade 3 A,Term 1,2026,Environmental Activities,64,B-,19,Good effort. Can improve with more practice.
ADM-1188,Eric Nandwa,Grade 3 A,Term 1,2026,Religious Education,59,C+,28,Steady progress. Do more revision.
ADM-1188,Eric Nandwa,Grade 3 A,Term 1,2026,Creative Activities,57,C+,27,Steady progress. Do more revision.
ADM-1188,Eric Nandwa,Grade 3 A,Term 1,2026,Physical & Health Education,67,B,23,Satisfactory. Needs consistent practice.
ADM-1189,Faith Adan,Grade 3 A,Term 1,2026,English,100,A,1,Very good performance. Focus on the few weak areas.
ADM-1189,Faith Adan,Grade 3 A,Term 1,2026,Kiswahili,100,A,1,Satisfactory. Needs consistent practice.
ADM-1189,Faith Adan,Grade 3 A,Term 1,2026,Mathematics,87,A,3,Satisfactory. Needs consistent practice.
ADM-1189,Faith Adan,Grade 3 A,Term 1,2026,Environmental Activities,100,A,1,Very good performance. Focus on the few weak areas.
ADM-1189,Faith Adan,Grade 3 A,Term 1,2026,Religious Education,100,A,1,Shows understanding of key concepts.
ADM-1189,Faith Adan,Grade 3 A,Term 1,2026,Creative Activities,97,A,2,Needs significant improvement. Revise earlier topics.
ADM-1189,Faith Adan,Grade 3 A,Term 1,2026,Physical & Health Education,100,A,2,Good effort. Can improve with more practice.
ADM-1190,Karen Okoth,Grade 3 A,Term 1,2026,English,59,C+,26,Average. Put more effort into homework.
ADM-1190,Karen Okoth,Grade 3 A,Term 1,2026,Kiswahili,58,C+,28,Steady progress. Do more revision.
ADM-1190,Karen Okoth,Grade 3 A,Term 1,2026,Mathematics,65,B,23,Average. Put more effort into homework.
ADM-1190,Karen Okoth,Grade 3 A,Term 1,2026,Environmental Activities,52,C,29,Satisfactory. Needs consistent practice.
ADM-1190,Karen Okoth,Grade 3 A,Term 1,2026,Religious Education,71,B+,18,Good effort. Can improve with more practice.
ADM-1190,Karen Okoth,Grade 3 A,Term 1,2026,Creative Activities,50,C,29,Good effort. Can improve with more practice.
ADM-1190,Karen Okoth,Grade 3 A,Term 1,2026,Physical & Health Education,50,C,32,Steady progress. Do more revision.
ADM-1191,Winfred Mwirigi,Grade 3 A,Term 1,2026,English,72,B+,17,Steady progress. Do more revision.
ADM-1191,Winfred Mwirigi,Grade 3 A,Term 1,2026,Kiswahili,71,B+,19,Satisfactory. Needs consistent practice.
ADM-1191,Winfred Mwirigi,Grade 3 A,Term 1,2026,Mathematics,67,B,21,Steady progress. Do more revision.
ADM-1191,Winfred Mwirigi,Grade 3 A,Term 1,2026,Environmental Activities,61,B-,24,Very good performance. Focus on the few weak areas.
ADM-1191,Winfred Mwirigi,Grade 3 A,Term 1,2026,Religious Education,70,B+,21,Average. Put more effort into homework.
ADM-1191,Winfred Mwirigi,Grade 3 A,Term 1,2026,Creative Activities,66,B,23,Very good performance. Focus on the few weak areas.
ADM-1191,Winfred Mwirigi,Grade 3 A,Term 1,2026,Physical & Health Education,62,B-,27,Excellent work. Keep it up!
ADM-1192,James Akoth,Grade 3 A,Term 1,2026,English,71,B+,19,Very good performance. Focus on the few weak areas.
ADM-1192,James Akoth,Grade 3 A,Term 1,2026,Kiswahili,74,B+,16,Steady progress. Do more revision.
ADM-1192,James Akoth,Grade 3 A,Term 1,2026,Mathematics,65,B,24,Steady progress. Do more revision.
ADM-1192,James Akoth,Grade 3 A,Term 1,2026,Environmental Activities,73,B+,14,Excellent work. Keep it up!
ADM-1192,James Akoth,Grade 3 A,Term 1,2026,Religious Education,72,B+,17,Excellent work. Keep it up!
ADM-1192,James Akoth,Grade 3 A,Term 1,2026,Creative Activities,65,B,24,Good effort. Can improve with more practice.
ADM-1192,James Akoth,Grade 3 A,Term 1,2026,Physical & Health Education,70,B+,20,Satisfactory. Needs consistent practice.
ADM-1193,George Kiprop,Grade 3 A,Term 1,2026,English,63,B-,24,Excellent work. Keep it up!
ADM-1193,George Kiprop,Grade 3 A,Term 1,2026,Kiswahili,59,C+,27,Excellent work. Keep it up!
ADM-1193,George Kiprop,Grade 3 A,Term 1,2026,Mathematics,45,C-,31,Excellent work. Keep it up!
ADM-1193,George Kiprop,Grade 3 A,Term 1,2026,Environmental Activities,62,B-,21,Excellent work. Keep it up!
ADM-1193,George Kiprop,Grade 3 A,Term 1,2026,Religious Education,60,B-,26,Steady progress. Do more revision.
ADM-1193,George Kiprop,Grade 3 A,Term 1,2026,Creative Activities,48,C-,30,Very good performance. Focus on the few weak areas.
ADM-1193,George Kiprop,Grade 3 A,Term 1,2026,Physical & Health Education,52,C,31,Good effort. Can improve with more practice.
ADM-1194,Winnie Kinyua,Grade 3 A,Term 1,2026,English,70,B+,21,Very good performance. Focus on the few weak areas.
ADM-1194,Winnie Kinyua,Grade 3 A,Term 1,2026,Kiswahili,64,B-,25,Steady progress. Do more revision.
ADM-1194,Winnie Kinyua,Grade 3 A,Term 1,2026,Mathematics,75,A-,12,Average. Put more effort into homework.
ADM-1194,Winnie Kinyua,Grade 3 A,Term 1,2026,Environmental Activities,85,A,8,Needs significant improvement. Revise earlier topics.
ADM-1194,Winnie Kinyua,Grade 3 A,Term 1,2026,Religious Education,89,A,3,Good effort. Can improve with more practice.
ADM-1194,Winnie Kinyua,Grade 3 A,Term 1,2026,Creative Activities,77,A-,13,Needs significant improvement. Revise earlier topics.
ADM-1194,Winnie Kinyua,Grade 3 A,Term 1,2026,Physical & Health Education,79,A-,9,Performs well under guidance. Keep practising.
ADM-1195,Esther Choge,Grade 3 A,Term 1,2026,English,68,B,22,Steady progress. Do more revision.
ADM-1195,Esther Choge,Grade 3 A,Term 1,2026,Kiswahili,86,A,5,Good effort. Can improve with more practice.
ADM-1195,Esther Choge,Grade 3 A,Term 1,2026,Mathematics,75,A-,13,Steady progress. Do more revision.
ADM-1195,Esther Choge,Grade 3 A,Term 1,2026,Environmental Activities,74,B+,13,Good effort. Can improve with more practice.
ADM-1195,Esther Choge,Grade 3 A,Term 1,2026,Religious Education,80,A,7,Satisfactory. Needs consistent practice.
ADM-1195,Esther Choge,Grade 3 A,Term 1,2026,Creative Activities,81,A,7,Steady progress. Do more revision.
ADM-1195,Esther Choge,Grade 3 A,Term 1,2026,Physical & Health Education,78,A-,11,Good effort. Can improve with more practice.
ADM-1196,Grace Nassor,Grade 3 A,Term 1,2026,English,75,A-,12,Average. Put more effort into homework.
ADM-1196,Grace Nassor,Grade 3 A,Term 1,2026,Kiswahili,55,C+,29,Satisfactory. Needs consistent practice.
ADM-1196,Grace Nassor,Grade 3 A,Term 1,2026,Mathematics,70,B+,19,Average. Put more effort into homework.
ADM-1196,Grace Nassor,Grade 3 A,Term 1,2026,Environmental Activities,62,B-,22,Very good performance. Focus on the few weak areas.
ADM-1196,Grace Nassor,Grade 3 A,Term 1,2026,Religious Education,71,B+,19,Very good performance. Focus on the few weak areas.
ADM-1196,Grace Nassor,Grade 3 A,Term 1,2026,Creative Activities,81,A,8,Excellent work. Keep it up!
ADM-1196,Grace Nassor,Grade 3 A,Term 1,2026,Physical & Health Education,72,B+,19,Satisfactory. Needs consistent practice.
ADM-1197,Trevor Njuguna,Grade 3 B,Term 1,2026,English,59,C+,28,Satisfactory. Needs consistent practice.
ADM-1197,Trevor Njuguna,Grade 3 B,Term 1,2026,Kiswahili,91,A,3,Good effort. Can improve with more practice.
ADM-1197,Trevor Njuguna,Grade 3 B,Term 1,2026,Mathematics,74,B+,14,Good effort. Can improve with more practice.
ADM-1197,Trevor Njuguna,Grade 3 B,Term 1,2026,Environmental Activities,84,A,3,Steady progress. Do more revision.
ADM-1197,Trevor Njuguna,Grade 3 B,Term 1,2026,Religious Education,69,B,20,Excellent work. Keep it up!
ADM-1197,Trevor Njuguna,Grade 3 B,Term 1,2026,Creative Activities,69,B,20,Very good performance. Focus on the few weak areas.
ADM-1197,Trevor Njuguna,Grade 3 B,Term 1,2026,Physical & Health Education,74,B+,16,Excellent work. Keep it up!
ADM-1198,James Mutuku,Grade 3 B,Term 1,2026,English,44,D+,32,Frequent absenteeism is affecting performance.
ADM-1198,James Mutuku,Grade 3 B,Term 1,2026,Kiswahili,40,D+,32,Struggles with this subject. Seek remedial help.
ADM-1198,James Mutuku,Grade 3 B,Term 1,2026,Mathematics,46,C-,32,Excellent work. Keep it up!
ADM-1198,James Mutuku,Grade 3 B,Term 1,2026,Environmental Activities,46,C-,32,Excellent work. Keep it up!
ADM-1198,James Mutuku,Grade 3 B,Term 1,2026,Religious Education,35,D,31,Poor foundation from previous grade. Support needed.
ADM-1198,James Mutuku,Grade 3 B,Term 1,2026,Creative Activities,50,C,31,Very good performance. Focus on the few weak areas.
ADM-1198,James Mutuku,Grade 3 B,Term 1,2026,Physical & Health Education,39,D,32,Repeated the topic without mastering basics. Revise.
ADM-1199,Peninah Achieng,Grade 3 B,Term 1,2026,English,58,C+,29,Excellent work. Keep it up!
ADM-1199,Peninah Achieng,Grade 3 B,Term 1,2026,Kiswahili,60,B-,26,Satisfactory. Needs consistent practice.
ADM-1199,Peninah Achieng,Grade 3 B,Term 1,2026,Mathematics,51,C,30,Steady progress. Do more revision.
ADM-1199,Peninah Achieng,Grade 3 B,Term 1,2026,Environmental Activities,51,C,30,Very good performance. Focus on the few weak areas.
ADM-1199,Peninah Achieng,Grade 3 B,Term 1,2026,Religious Education,71,B+,19,Average. Put more effort into homework.
ADM-1199,Peninah Achieng,Grade 3 B,Term 1,2026,Creative Activities,67,B,22,Satisfactory. Needs consistent practice.
ADM-1199,Peninah Achieng,Grade 3 B,Term 1,2026,Physical & Health Education,59,C+,27,Excellent work. Keep it up!
ADM-1200,Karen Maina,Grade 3 B,Term 1,2026,English,49,C-,30,Satisfactory. Needs consistent practice.
ADM-1200,Karen Maina,Grade 3 B,Term 1,2026,Kiswahili,47,C-,31,Satisfactory. Needs consistent practice.
ADM-1200,Karen Maina,Grade 3 B,Term 1,2026,Mathematics,64,B-,21,Satisfactory. Needs consistent practice.
ADM-1200,Karen Maina,Grade 3 B,Term 1,2026,Environmental Activities,70,B+,22,Very good performance. Focus on the few weak areas.
ADM-1200,Karen Maina,Grade 3 B,Term 1,2026,Religious Education,75,A-,15,Steady progress. Do more revision.
ADM-1200,Karen Maina,Grade 3 B,Term 1,2026,Creative Activities,66,B,24,Very good performance. Focus on the few weak areas.
ADM-1200,Karen Maina,Grade 3 B,Term 1,2026,Physical & Health Education,70,B+,21,Satisfactory. Needs consistent practice.
ADM-1201,Brenda Wambui,Grade 3 B,Term 1,2026,English,88,A,1,Average. Put more effort into homework.
ADM-1201,Brenda Wambui,Grade 3 B,Term 1,2026,Kiswahili,68,B,16,Steady progress. Do more revision.
ADM-1201,Brenda Wambui,Grade 3 B,Term 1,2026,Mathematics,80,A,6,Very good performance. Focus on the few weak areas.
ADM-1201,Brenda Wambui,Grade 3 B,Term 1,2026,Environmental Activities,85,A,2,Average. Put more effort into homework.
ADM-1201,Brenda Wambui,Grade 3 B,Term 1,2026,Religious Education,91,A,1,Excellent work. Keep it up!
ADM-1201,Brenda Wambui,Grade 3 B,Term 1,2026,Creative Activities,72,B+,17,Satisfactory. Needs consistent practice.
ADM-1201,Brenda Wambui,Grade 3 B,Term 1,2026,Physical & Health Education,84,A,6,Good effort. Can improve with more practice.
ADM-1202,Doreen Njeri,Grade 3 B,Term 1,2026,English,79,A-,9,Good effort. Can improve with more practice.
ADM-1202,Doreen Njeri,Grade 3 B,Term 1,2026,Kiswahili,93,A,1,Steady progress. Do more revision.
ADM-1202,Doreen Njeri,Grade 3 B,Term 1,2026,Mathematics,80,A,7,Shows understanding of key concepts.
ADM-1202,Doreen Njeri,Grade 3 B,Term 1,2026,Environmental Activities,93,A,1,Shows understanding of key concepts.
ADM-1202,Doreen Njeri,Grade 3 B,Term 1,2026,Religious Education,87,A,4,Good effort. Can improve with more practice.
ADM-1202,Doreen Njeri,Grade 3 B,Term 1,2026,Creative Activities,90,A,3,Shows understanding of key concepts.
ADM-1202,Doreen Njeri,Grade 3 B,Term 1,2026,Physical & Health Education,85,A,5,Steady progress. Do more revision.
ADM-1203,Julius Onyango,Grade 3 B,Term 1,2026,English,65,B,24,Excellent work. Keep it up!
ADM-1203,Julius Onyango,Grade 3 B,Term 1,2026,Kiswahili,86,A,5,Average. Put more effort into homework.
ADM-1203,Julius Onyango,Grade 3 B,Term 1,2026,Mathematics,80,A,8,Shows understanding of key concepts.
ADM-1203,Julius Onyango,Grade 3 B,Term 1,2026,Environmental Activities,65,B,25,Excellent work. Keep it up!
ADM-1203,Julius Onyango,Grade 3 B,Term 1,2026,Religious Education,76,A-,14,Steady progress. Do more revision.
ADM-1203,Julius Onyango,Grade 3 B,Term 1,2026,Creative Activities,75,A-,14,Needs significant improvement. Revise earlier topics.
ADM-1203,Julius Onyango,Grade 3 B,Term 1,2026,Physical & Health Education,76,A-,11,Satisfactory. Needs consistent practice.
ADM-1204,Irene Pashua,Grade 3 B,Term 1,2026,English,68,B,19,Steady progress. Do more revision.
ADM-1204,Irene Pashua,Grade 3 B,Term 1,2026,Kiswahili,76,A-,11,Needs significant improvement. Revise earlier topics.
ADM-1204,Irene Pashua,Grade 3 B,Term 1,2026,Mathematics,60,B-,26,Satisfactory. Needs consistent practice.
ADM-1204,Irene Pashua,Grade 3 B,Term 1,2026,Environmental Activities,72,B+,19,Steady progress. Do more revision.
ADM-1204,Irene Pashua,Grade 3 B,Term 1,2026,Religious Education,55,C+,29,Steady progress. Do more revision.
ADM-1204,Irene Pashua,Grade 3 B,Term 1,2026,Creative Activities,76,A-,13,Very good performance. Focus on the few weak areas.
ADM-1204,Irene Pashua,Grade 3 B,Term 1,2026,Physical & Health Education,72,B+,17,Good effort. Can improve with more practice.
ADM-1205,Kennedy Kitonga,Grade 3 B,Term 1,2026,English,77,A-,11,Very good performance. Focus on the few weak areas.
ADM-1205,Kennedy Kitonga,Grade 3 B,Term 1,2026,Kiswahili,93,A,2,Satisfactory. Needs consistent practice.
ADM-1205,Kennedy Kitonga,Grade 3 B,Term 1,2026,Mathematics,62,B-,23,Very good performance. Focus on the few weak areas.
ADM-1205,Kennedy Kitonga,Grade 3 B,Term 1,2026,Environmental Activities,73,B+,17,Average. Put more effort into homework.
ADM-1205,Kennedy Kitonga,Grade 3 B,Term 1,2026,Religious Education,89,A,3,Performs well under guidance. Keep practising.
ADM-1205,Kennedy Kitonga,Grade 3 B,Term 1,2026,Creative Activities,72,B+,18,Very good performance. Focus on the few weak areas.
ADM-1205,Kennedy Kitonga,Grade 3 B,Term 1,2026,Physical & Health Education,92,A,3,Performs well under guidance. Keep practising.
ADM-1206,Faith Kathambi,Grade 3 B,Term 1,2026,English,62,B-,25,Excellent work. Keep it up!
ADM-1206,Faith Kathambi,Grade 3 B,Term 1,2026,Kiswahili,50,C,30,Steady progress. Do more revision.
ADM-1206,Faith Kathambi,Grade 3 B,Term 1,2026,Mathematics,64,B-,22,Excellent work. Keep it up!
ADM-1206,Faith Kathambi,Grade 3 B,Term 1,2026,Environmental Activities,63,B-,26,Satisfactory. Needs consistent practice.
ADM-1206,Faith Kathambi,Grade 3 B,Term 1,2026,Religious Education,74,B+,17,Average. Put more effort into homework.
ADM-1206,Faith Kathambi,Grade 3 B,Term 1,2026,Creative Activities,67,B,23,Very good performance. Focus on the few weak areas.
ADM-1206,Faith Kathambi,Grade 3 B,Term 1,2026,Physical & Health Education,55,C+,31,Very good performance. Focus on the few weak areas.
ADM-1207,Teresia Baariu,Grade 3 B,Term 1,2026,English,71,B+,16,Average. Put more effort into homework.
ADM-1207,Teresia Baariu,Grade 3 B,Term 1,2026,Kiswahili,72,B+,13,Good effort. Can improve with more practice.
ADM-1207,Teresia Baariu,Grade 3 B,Term 1,2026,Mathematics,75,A-,12,Below average. Extra tuition recommended.
ADM-1207,Teresia Baariu,Grade 3 B,Term 1,2026,Environmental Activities,73,B+,18,Excellent work. Keep it up!
ADM-1207,Teresia Baariu,Grade 3 B,Term 1,2026,Religious Education,82,A,9,Very good performance. Focus on the few weak areas.
ADM-1207,Teresia Baariu,Grade 3 B,Term 1,2026,Creative Activities,79,A-,9,Needs significant improvement. Revise earlier topics.
ADM-1207,Teresia Baariu,Grade 3 B,Term 1,2026,Physical & Health Education,72,B+,18,Good effort. Can improve with more practice.
ADM-1208,Edwin Abdalla,Grade 3 B,Term 1,2026,English,77,A-,12,Performs well under guidance. Keep practising.
ADM-1208,Edwin Abdalla,Grade 3 B,Term 1,2026,Kiswahili,69,B,15,Very good performance. Focus on the few weak areas.
ADM-1208,Edwin Abdalla,Grade 3 B,Term 1,2026,Mathematics,71,B+,17,Satisfactory. Needs consistent practice.
ADM-1208,Edwin Abdalla,Grade 3 B,Term 1,2026,Environmental Activities,69,B,24,Satisfactory. Needs consistent practice.
ADM-1208,Edwin Abdalla,Grade 3 B,Term 1,2026,Religious Education,75,A-,16,Very good performance. Focus on the few weak areas.
ADM-1208,Edwin Abdalla,Grade 3 B,Term 1,2026,Creative Activities,83,A,7,Excellent work. Keep it up!
ADM-1208,Edwin Abdalla,Grade 3 B,Term 1,2026,Physical & Health Education,88,A,4,Good effort. Can improve with more practice.
ADM-1209,Meshack Wafula,Grade 3 B,Term 1,2026,English,82,A,5,Steady progress. Do more revision.
ADM-1209,Meshack Wafula,Grade 3 B,Term 1,2026,Kiswahili,83,A,7,Steady progress. Do more revision.
ADM-1209,Meshack Wafula,Grade 3 B,Term 1,2026,Mathematics,88,A,1,Steady progress. Do more revision.
ADM-1209,Meshack Wafula,Grade 3 B,Term 1,2026,Environmental Activities,74,B+,16,Steady progress. Do more revision.
ADM-1209,Meshack Wafula,Grade 3 B,Term 1,2026,Religious Education,61,B-,27,Good effort. Can improve with more practice.
ADM-1209,Meshack Wafula,Grade 3 B,Term 1,2026,Creative Activities,73,B+,16,Satisfactory. Needs consistent practice.
ADM-1209,Meshack Wafula,Grade 3 B,Term 1,2026,Physical & Health Education,75,A-,14,Very good performance. Focus on the few weak areas.
ADM-1210,Kipchoge Mwinyi,Grade 3 B,Term 1,2026,English,67,B,20,Steady progress. Do more revision.
ADM-1210,Kipchoge Mwinyi,Grade 3 B,Term 1,2026,Kiswahili,66,B,19,Good effort. Can improve with more practice.
ADM-1210,Kipchoge Mwinyi,Grade 3 B,Term 1,2026,Mathematics,68,B,19,Steady progress. Do more revision.
ADM-1210,Kipchoge Mwinyi,Grade 3 B,Term 1,2026,Environmental Activities,71,B+,20,Good effort. Can improve with more practice.
ADM-1210,Kipchoge Mwinyi,Grade 3 B,Term 1,2026,Religious Education,83,A,8,Average. Put more effort into homework.
ADM-1210,Kipchoge Mwinyi,Grade 3 B,Term 1,2026,Creative Activities,64,B-,28,Good effort. Can improve with more practice.
ADM-1210,Kipchoge Mwinyi,Grade 3 B,Term 1,2026,Physical & Health Education,66,B,23,Average. Put more effort into homework.
ADM-1211,Mark Pashua,Grade 3 B,Term 1,2026,English,81,A,7,Below average. Extra tuition recommended.
ADM-1211,Mark Pashua,Grade 3 B,Term 1,2026,Kiswahili,70,B+,14,Good effort. Can improve with more practice.
ADM-1211,Mark Pashua,Grade 3 B,Term 1,2026,Mathematics,72,B+,16,Steady progress. Do more revision.
ADM-1211,Mark Pashua,Grade 3 B,Term 1,2026,Environmental Activities,71,B+,21,Average. Put more effort into homework.
ADM-1211,Mark Pashua,Grade 3 B,Term 1,2026,Religious Education,ABS,ABS,,Absent for the examination.
ADM-1211,Mark Pashua,Grade 3 B,Term 1,2026,Creative Activities,66,B,25,Steady progress. Do more revision.
ADM-1211,Mark Pashua,Grade 3 B,Term 1,2026,Physical & Health Education,71,B+,19,Excellent work. Keep it up!
ADM-1212,Grace Langat,Grade 3 B,Term 1,2026,English,77,A-,13,Needs significant improvement. Revise earlier topics.
ADM-1212,Grace Langat,Grade 3 B,Term 1,2026,Kiswahili,67,B,18,Steady progress. Do more revision.
