Date,Admission No,Student Name,Class,Status,Reason
2026-01-05,ADM-1363,John Barasa,Grade 6 A,ABSENT,FUNERAL
2026-01-05,ADM-1364,Winfred Ambani,Grade 6 A,PRESENT,
2026-01-05,ADM-1365,Edwin Tianai,Grade 6 A,LATE,REPORTED LATE
2026-01-05,ADM-1366,Harrison Kimutai,Grade 6 A,PRESENT,
2026-01-05,ADM-1367,Charity Tuwei,Grade 6 A,PRESENT,
2026-01-05,ADM-1368,Stephen Wanjiku,Grade 6 A,PRESENT,
2026-01-05,ADM-1369,Catherine Igweta,Grade 6 A,PRESENT,
2026-01-05,ADM-1370,Joyce Ndungu,Grade 6 A,PRESENT,
2026-01-05,ADM-1371,Agnes Igweta,Grade 6 A,PRESENT,
2026-01-05,ADM-1372,Tabitha Owino,Grade 6 A,PRESENT,
2026-01-05,ADM-1373,Donald Auma,Grade 6 A,PRESENT,
2026-01-05,ADM-1374,Luke Gitau,Grade 6 A,PRESENT,
2026-01-05,ADM-1375,James Kathambi,Grade 6 A,PRESENT,
2026-01-05,ADM-1376,Diana Njuguna,Grade 6 A,PRESENT,
2026-01-05,ADM-1377,Winnie Odhiambo,Grade 6 A,PRESENT,
2026-01-05,ADM-1378,Abigail Mganga,Grade 6 A,PRESENT,
2026-01-05,ADM-1379,Peninah Korir,Grade 6 A,PRESENT,
2026-01-05,ADM-1380,Nathaniel Kimeu,Grade 6 A,PRESENT,
2026-01-05,ADM-1381,Gladys Ali,Grade 6 A,PRESENT,
2026-01-05,ADM-1382,Esther Suleiman,Grade 6 A,PRESENT,
2026-01-05,ADM-1383,Emmanuel Mutiso,Grade 6 A,PRESENT,
2026-01-05,ADM-1384,Francis Omar,Grade 6 A,PRESENT,
2026-01-05,ADM-1385,Tabitha Mugambi,Grade 6 A,PRESENT,
2026-01-05,ADM-1386,Brian Namukuru,Grade 6 A,PRESENT,
2026-01-05,ADM-1387,Yvonne Kinyua,Grade 6 A,ABSENT,SICKNESS
2026-01-05,ADM-1388,Maureen Akoth,Grade 6 B,PRESENT,
2026-01-05,ADM-1389,Damaris Mwirigi,Grade 6 B,PRESENT,
2026-01-05,ADM-1390,Alex Sein,Grade 6 B,PRESENT,
2026-01-05,ADM-1391,Dennis Otieno,Grade 6 B,PRESENT,
2026-01-05,ADM-1392,George Gatwiri,Grade 6 B,PRESENT,
2026-01-05,ADM-1393,Grace Otieno,Grade 6 B,PRESENT,
2026-01-05,ADM-1394,Mark Korir,Grade 6 B,PRESENT,
2026-01-05,ADM-1395,Lilian Muthoka,Grade 6 B,PRESENT,
2026-01-05,ADM-1396,Wesley Onyango,Grade 6 B,PRESENT,
2026-01-05,ADM-1397,Donald Obiero,Grade 6 B,PRESENT,
2026-01-05,ADM-1398,Daniel Nandwa,Grade 6 B,PRESENT,
2026-01-05,ADM-1399,Ibrahim Wambua,Grade 6 B,PRESENT,
2026-01-05,ADM-1400,Grace Khisa,Grade 6 B,PRESENT,
2026-01-05,ADM-1401,Nancy Anyango,Grade 6 B,PRESENT,
2026-01-05,ADM-1402,Amos Kithinji,Grade 6 B,ABSENT,TRAVEL
2026-01-05,ADM-1403,Kevin Barasa,Grade 6 B,PRESENT,
2026-01-05,ADM-1404,Felix Owuor,Grade 6 B,PRESENT,
2026-01-05,ADM-1405,Patrick Kombo,Grade 6 B,PRESENT,
2026-01-05,ADM-1406,Beth Kilonzo,Grade 6 B,PRESENT,
2026-01-05,ADM-1407,Karen Adhiambo,Grade 6 B,ABSENT,TRAVEL
2026-01-05,ADM-1408,Joshua Leshan,Grade 6 B,PRESENT,
2026-01-05,ADM-1409,Eunice Bunoro,Grade 6 B,ABSENT,TRAVEL
2026-01-05,ADM-1410,Karen Choge,Grade 6 B,PRESENT,
2026-01-05,ADM-1411,Priscilla Owino,Grade 6 B,PRESENT,
2026-01-05,ADM-1412,Moses Khaemba,Grade 6 B,PRESENT,
2026-01-05,ADM-1413,Beth Kimutai,Grade 6 B,PRESENT,
2026-01-05,ADM-1414,Timothy Kioko,Grade 6 B,PRESENT,
2026-01-05,ADM-1415,Winnie Ruto,Grade 6 B,PRESENT,
2026-01-05,ADM-1416,Daniel Omondi,Grade 6 B,PRESENT,
2026-01-05,ADM-1417,Hannah Muthoka,Grade 6 B,PRESENT,
2026-01-05,ADM-1418,Gideon Omollo,Grade 6 B,PRESENT,
2026-01-05,ADM-1419,Catherine Zawadi,Grade 7 A,PRESENT,
2026-01-05,ADM-1420,Nancy Maundu,Grade 7 A,PRESENT,
2026-01-05,ADM-1421,Nicholas Njeru,Grade 7 A,PRESENT,
2026-01-05,ADM-1422,Godfrey Nzioka,Grade 7 A,PRESENT,
2026-01-05,ADM-1423,Sophia Ruto,Grade 7 A,PRESENT,
2026-01-05,ADM-1424,Olivia Chemtai,Grade 7 A,PRESENT,
2026-01-05,ADM-1425,Amara Odera,Grade 7 A,PRESENT,
2026-01-05,ADM-1426,Hellen Sichangi,Grade 7 A,PRESENT,
2026-01-05,ADM-1427,David Omollo,Grade 7 A,PRESENT,
2026-01-05,ADM-1428,Kennedy Kaelo,Grade 7 A,ABSENT,TRAVEL
2026-01-05,ADM-1429,Kevin Chemtai,Grade 7 A,PRESENT,
2026-01-05,ADM-1430,Francis Okello,Grade 7 A,PRESENT,
2026-01-05,ADM-1431,Charity Owino,Grade 7 A,PRESENT,
2026-01-05,ADM-1432,Elijah Ochieng,Grade 7 A,PRESENT,
2026-01-05,ADM-1433,Olivia Pashua,Grade 7 A,PRESENT,
2026-01-05,ADM-1434,Fridah Obiero,Grade 7 A,PRESENT,
2026-01-05,ADM-1435,Julia Wanjiku,Grade 7 A,PRESENT,
2026-01-05,ADM-1436,Felix Odhiambo,Grade 7 A,PRESENT,
2026-01-05,ADM-1437,Karen Chemtai,Grade 7 B,PRESENT,
2026-01-05,ADM-1438,Kipchoge Omar,Grade 7 B,PRESENT,
2026-01-05,ADM-1439,James Kosgei,Grade 7 B,PRESENT,
2026-01-05,ADM-1440,Andrew Syombua,Grade 7 B,PRESENT,
2026-01-05,ADM-1441,Damaris Kinyua,Grade 7 B,PRESENT,
2026-01-05,ADM-1442,Felix Tuwei,Grade 7 B,PRESENT,
2026-01-05,ADM-1443,Teresia Tanui,Grade 7 B,PRESENT,
2026-01-05,ADM-1444,Benjamin Wafula,Grade 7 B,PRESENT,
2026-01-05,ADM-1445,John Mwakisha,Grade 7 B,PRESENT,
2026-01-05,ADM-1446,Julius Bunoro,Grade 7 B,PRESENT,
2026-01-05,ADM-1447,Kipchoge Khisa,Grade 7 B,PRESENT,
2026-01-05,ADM-1448,George Anyango,Grade 7 B,PRESENT,
2026-01-05,ADM-1449,James Choge,Grade 7 B,PRESENT,
2026-01-05,ADM-1450,Irene Njenga,Grade 7 B,PRESENT,
2026-01-05,ADM-1451,Mercy Auma,Grade 7 B,PRESENT,
2026-01-05,ADM-1452,Victor Barasa,Grade 7 B,PRESENT,
2026-01-05,ADM-1453,Zipporah Nzomo,Grade 7 B,PRESENT,
2026-01-05,ADM-1454,Eric Salim,Grade 7 B,PRESENT,
2026-01-05,ADM-1455,Mercy Wafula,Grade 7 C,PRESENT,
2026-01-05,ADM-1456,Damaris Wanjiku,Grade 7 C,PRESENT,
2026-01-05,ADM-1457,Maureen Kipsang,Grade 7 C,PRESENT,
2026-01-05,ADM-1458,Tabitha Metto,Grade 7 C,PRESENT,
2026-01-05,ADM-1459,Felix Kamau,Grade 7 C,PRESENT,
2026-01-05,ADM-1460,Caleb Nzioka,Grade 7 C,PRESENT,
2026-01-05,ADM-1461,Frank Tianai,Grade 7 C,PRESENT,
2026-01-05,ADM-1462,Sarah Ciawi,Grade 7 C,PRESENT,
2026-01-05,ADM-1463,Joyce Owino,Grade 7 C,LATE,REPORTED LATE
2026-01-05,ADM-1464,Edna Auma,Grade 7 C,PRESENT,
2026-01-05,ADM-1465,Harrison Kinyua,Grade 7 C,PRESENT,
2026-01-05,ADM-1466,Julius Kithinji,Grade 7 C,PRESENT,
2026-01-05,ADM-1467,Hillary Kariuki,Grade 7 C,PRESENT,
2026-01-05,ADM-1468,Lawrence Auma,Grade 7 C,PRESENT,
2026-01-05,ADM-1469,William Kinyua,Grade 7 C,PRESENT,
2026-01-05,ADM-1470,Gloria Tanui,Grade 7 C,PRESENT,
2026-01-05,ADM-1471,Susan Kimutai,Grade 7 C,PRESENT,
2026-01-05,ADM-1472,Fridah Zawadi,Grade 7 C,PRESENT,
2026-01-05,ADM-1473,Charity Simiyu,Grade 8 A,PRESENT,
2026-01-05,ADM-1474,Brian Abdi,Grade 8 A,PRESENT,
2026-01-05,ADM-1475,Amos Mwirigi,Grade 8 A,PRESENT,
2026-01-05,ADM-1476,Samuel Owuor,Grade 8 A,PRESENT,
2026-01-05,ADM-1477,Tabitha Muthoka,Grade 8 A,PRESENT,
2026-01-05,ADM-1478,Beatrice Ruto,Grade 8 A,PRESENT,
2026-01-05,ADM-1479,Olivia Kosgei,Grade 8 A,PRESENT,
2026-01-05,ADM-1480,Florence Musalia,Grade 8 A,PRESENT,
2026-01-05,ADM-1481,Veronica Kithinji,Grade 8 A,PRESENT,
2026-01-05,ADM-1482,Mercy Kinyua,Grade 8 A,PRESENT,
2026-01-05,ADM-1483,Sharon Mburu,Grade 8 A,PRESENT,
2026-01-05,ADM-1484,Amos Bii,Grade 8 A,PRESENT,
2026-01-05,ADM-1485,Edna Sironka,Grade 8 A,PRESENT,
2026-01-05,ADM-1486,Yvonne Mwende,Grade 8 A,PRESENT,
2026-01-05,ADM-1487,Harrison Gatwiri,Grade 8 A,PRESENT,
2026-01-05,ADM-1488,Nancy Kioko,Grade 8 A,PRESENT,
2026-01-05,ADM-1489,Winnie Kigen,Grade 8 A,PRESENT,
2026-01-05,ADM-1490,Andrew Kiptum,Grade 8 A,PRESENT,
2026-01-05,ADM-1491,Damaris Njeri,Grade 8 A,PRESENT,
2026-01-05,ADM-1492,Benjamin Ruto,Grade 8 A,PRESENT,
2026-01-05,ADM-1493,Michael Nasimiyu,Grade 8 A,PRESENT,
2026-01-05,ADM-1494,Moses Mwirigi,Grade 8 A,PRESENT,
2026-01-05,ADM-1495,Hannah Naisoi,Grade 8 B,PRESENT,
2026-01-05,ADM-1496,Winnie Wafula,Grade 8 B,PRESENT,
2026-01-05,ADM-1497,Godfrey Githinji,Grade 8 B,PRESENT,
2026-01-05,ADM-1498,Michael Musalia,Grade 8 B,PRESENT,
2026-01-05,ADM-1499,Eric Mwanzia,Grade 8 B,PRESENT,
2026-01-05,ADM-1500,Grace Obiero,Grade 8 B,PRESENT,
2026-01-05,ADM-1501,Faith Akoth,Grade 8 B,PRESENT,
2026-01-05,ADM-1502,Patrick Ndungu,Grade 8 B,PRESENT,
2026-01-05,ADM-1503,Amara Igweta,Grade 8 B,PRESENT,
2026-01-05,ADM-1504,Victor Mwinyi,Grade 8 B,PRESENT,
2026-01-05,ADM-1505,Thomas Chepkoech,Grade 8 B,PRESENT,
2026-01-05,ADM-1506,Patrick Lugalia,Grade 8 B,PRESENT,
2026-01-05,ADM-1507,Diana Kipchumba,Grade 8 B,PRESENT,
2026-01-05,ADM-1508,Anthony Wafula,Grade 8 B,PRESENT,
2026-01-05,ADM-1509,Veronica Sironka,Grade 8 B,PRESENT,
2026-01-05,ADM-1510,Caroline Chemtai,Grade 8 B,PRESENT,
2026-01-05,ADM-1511,Julius Kimeu,Grade 8 B,PRESENT,
2026-01-05,ADM-1512,Beth Wambui,Grade 8 B,PRESENT,
2026-01-05,ADM-1513,William Chepkirui,Grade 8 B,PRESENT,
2026-01-05,ADM-1514,Patrick Kilonzo,Grade 8 B,PRESENT,
2026-01-05,ADM-1515,Sophia Kimutai,Grade 8 B,PRESENT,
2026-01-05,ADM-1516,Frank Wamalwa,Grade 8 B,PRESENT,
2026-01-05,ADM-1517,Sarah Hassan,Grade 9 A,PRESENT,
2026-01-05,ADM-1518,Peninah Khaemba,Grade 9 A,PRESENT,
2026-01-05,ADM-1519,Gideon Chepkirui,Grade 9 A,PRESENT,
2026-01-05,ADM-1520,Kiplangat Mwangi,Grade 9 A,PRESENT,
2026-01-05,ADM-1521,Cynthia Kitonga,Grade 9 A,PRESENT,
2026-01-05,ADM-1522,Edwin Nassor,Grade 9 A,PRESENT,
2026-01-05,ADM-1523,Dorcas Mwanzia,Grade 9 A,PRESENT,
2026-01-05,ADM-1524,Vincent Otieno,Grade 9 A,PRESENT,
2026-01-05,ADM-1525,Brian Muthoka,Grade 9 A,PRESENT,
2026-01-05,ADM-1526,Yvonne Kiprop,Grade 9 A,PRESENT,
2026-01-05,ADM-1527,Peter Ali,Grade 9 A,PRESENT,
2026-01-05,ADM-1528,Simon Obiero,Grade 9 A,ABSENT,OTHER
2026-01-05,ADM-1529,Beatrice Gatwiri,Grade 9 A,PRESENT,
2026-01-05,ADM-1530,Ibrahim Ali,Grade 9 A,PRESENT,
2026-01-05,ADM-1531,Winnie Gatwiri,Grade 9 A,PRESENT,
2026-01-05,ADM-1532,Gladys Kamau,Grade 9 A,PRESENT,
2026-01-05,ADM-1533,Kevin Mbithe,Grade 9 A,ABSENT,TRAVEL
2026-01-05,ADM-1534,Lilian Mburu,Grade 9 A,PRESENT,
2026-01-05,ADM-1535,Hillary Owino,Grade 9 A,PRESENT,
2026-01-05,ADM-1536,Caleb Hassan,Grade 9 A,PRESENT,
2026-01-05,ADM-1537,Trevor Maina,Grade 9 A,PRESENT,
2026-01-05,ADM-1538,Grace Waweru,Grade 9 A,PRESENT,
2026-01-05,ADM-1539,Simon Mwirigi,Grade 9 B,PRESENT,
2026-01-05,ADM-1540,Emmanuel Abdalla,Grade 9 B,PRESENT,
2026-01-05,ADM-1541,Sarah Kithinji,Grade 9 B,PRESENT,
2026-01-05,ADM-1542,Patrick Sironka,Grade 9 B,PRESENT,
2026-01-05,ADM-1543,Susan Mutoro,Grade 9 B,PRESENT,
2026-01-05,ADM-1544,Joseph Maina,Grade 9 B,PRESENT,
2026-01-05,ADM-1545,Brenda Kariuki,Grade 9 B,PRESENT,
2026-01-05,ADM-1546,Nathaniel Njeri,Grade 9 B,PRESENT,
2026-01-05,ADM-1547,Benjamin Langat,Grade 9 B,PRESENT,
2026-01-05,ADM-1548,Tabitha Mutua,Grade 9 B,PRESENT,
2026-01-05,ADM-1549,Moses Syombua,Grade 9 B,PRESENT,
2026-01-05,ADM-1550,Godfrey Wambua,Grade 9 B,PRESENT,
2026-01-05,ADM-1551,Charity Kimeu,Grade 9 B,PRESENT,
2026-01-05,ADM-1552,Gloria Chemtai,Grade 9 B,PRESENT,
2026-01-05,ADM-1553,Godfrey Makhoha,Grade 9 B,PRESENT,
2026-01-05,ADM-1554,Lawrence Wafula,Grade 9 B,PRESENT,
2026-01-05,ADM-1555,Benjamin Juma,Grade 9 B,PRESENT,
2026-01-05,ADM-1556,Veronica Mugo,Grade 9 B,PRESENT,
2026-01-05,ADM-1557,Harrison Odera,Grade 9 B,PRESENT,
2026-01-05,ADM-1558,Peter Igweta,Grade 9 B,PRESENT,
2026-01-05,ADM-1559,Monica Anyango,Grade 9 B,PRESENT,
2026-01-05,ADM-1560,Daniel Kamau,Grade 9 B,PRESENT,
2026-01-06,ADM-1001,Gideon Waweru,Grade 1 A,PRESENT,
2026-01-06,ADM-1002,George Ndolo,Grade 1 A,PRESENT,
2026-01-06,ADM-1003,John Njuguna,Grade 1 A,PRESENT,
2026-01-06,ADM-1004,Samuel Hassan,Grade 1 A,PRESENT,
2026-01-06,ADM-1005,Alice Farah,Grade 1 A,PRESENT,
2026-01-06,ADM-1006,Anthony Omar,Grade 1 A,PRESENT,
2026-01-06,ADM-1007,Abigail Mutuku,Grade 1 A,PRESENT,
2026-01-06,ADM-1008,Eric Odera,Grade 1 A,PRESENT,
2026-01-06,ADM-1009,Dorcas Bakari,Grade 1 A,PRESENT,
2026-01-06,ADM-1010,Kevin Pashua,Grade 1 A,PRESENT,
2026-01-06,ADM-1011,Winfred Bakari,Grade 1 A,PRESENT,
2026-01-06,ADM-1012,Diana Khaemba,Grade 1 A,PRESENT,
2026-01-06,ADM-1013,Purity Nzioka,Grade 1 A,PRESENT,
2026-01-06,ADM-1014,Eric Mutoro,Grade 1 A,PRESENT,
2026-01-06,ADM-1015,Yvonne Kariuki,Grade 1 A,PRESENT,
2026-01-06,ADM-1016,John Lugalia,Grade 1 A,PRESENT,
2026-01-06,ADM-1017,Fridah Oluoch,Grade 1 A,PRESENT,
2026-01-06,ADM-1018,Charity Sichangi,Grade 1 A,PRESENT,
2026-01-06,ADM-1019,Stephen Kinyua,Grade 1 A,PRESENT,
2026-01-06,ADM-1020,James Mganga,Grade 1 A,PRESENT,
2026-01-06,ADM-1021,Brenda Oduor,Grade 1 A,PRESENT,
2026-01-06,ADM-1022,Kiplangat Wafula,Grade 1 A,LATE,REPORTED LATE
2026-01-06,ADM-1023,Karen Makokha,Grade 1 A,PRESENT,
2026-01-06,ADM-1024,Tabitha Ndungu,Grade 1 A,PRESENT,
2026-01-06,ADM-1025,Mark Kioko,Grade 1 A,PRESENT,
2026-01-06,ADM-1026,Eric Obiero,Grade 1 A,PRESENT,
2026-01-06,ADM-1027,Michael Ndolo,Grade 1 A,PRESENT,
2026-01-06,ADM-1028,Lawrence Chemtai,Grade 1 A,PRESENT,
2026-01-06,ADM-1029,Emmanuel Njenga,Grade 1 A,PRESENT,
2026-01-06,ADM-1030,Yvonne Karanja,Grade 1 A,PRESENT,
2026-01-06,ADM-1031,Yvonne Njeri,Grade 1 A,PRESENT,
2026-01-06,ADM-1032,Esther Mutiso,Grade 1 A,PRESENT,
2026-01-06,ADM-1033,Daniel Noor,Grade 1 A,PRESENT,
2026-01-06,ADM-1034,Alice Metto,Grade 1 A,PRESENT,
2026-01-06,ADM-1035,Maureen Muthoka,Grade 1 B,PRESENT,
2026-01-06,ADM-1036,Alice Abdi,Grade 1 B,PRESENT,
2026-01-06,ADM-1037,Kipchoge Akoth,Grade 1 B,PRESENT,
2026-01-06,ADM-1038,Abigail Yusuf,Grade 1 B,PRESENT,
2026-01-06,ADM-1039,Peter Choge,Grade 1 B,PRESENT,
2026-01-06,ADM-1040,Joshua Nzioka,Grade 1 B,PRESENT,
2026-01-06,ADM-1041,Winnie Suleiman,Grade 1 B,LATE,REPORTED LATE
2026-01-06,ADM-1042,John Pekeri,Grade 1 B,PRESENT,
2026-01-06,ADM-1043,Judith Njuguna,Grade 1 B,PRESENT,
2026-01-06,ADM-1044,Joyce Mutoro,Grade 1 B,PRESENT,
2026-01-06,ADM-1045,Yvonne Choge,Grade 1 B,PRESENT,
2026-01-06,ADM-1046,Timothy Khisa,Grade 1 B,PRESENT,
2026-01-06,ADM-1047,Charles Njeru,Grade 1 B,PRESENT,
2026-01-06,ADM-1048,Vincent Wamalwa,Grade 1 B,PRESENT,
2026-01-06,ADM-1049,Isaac Mwirigi,Grade 1 B,PRESENT,
2026-01-06,ADM-1050,David Kaelo,Grade 1 B,PRESENT,
2026-01-06,ADM-1051,Purity Kioko,Grade 1 B,PRESENT,
2026-01-06,ADM-1052,Thomas Korir,Grade 1 B,PRESENT,
2026-01-06,ADM-1053,Zachary Omollo,Grade 1 B,PRESENT,
2026-01-06,ADM-1054,Sharon Kombo,Grade 1 B,PRESENT,
2026-01-06,ADM-1055,Luke Bunoro,Grade 1 B,PRESENT,
2026-01-06,ADM-1056,Dorcas Nassor,Grade 1 B,PRESENT,
2026-01-06,ADM-1057,Wesley Bakari,Grade 1 B,PRESENT,
2026-01-06,ADM-1058,Winfred Odera,Grade 1 B,PRESENT,
2026-01-06,ADM-1059,Trevor Syombua,Grade 1 B,PRESENT,
2026-01-06,ADM-1060,Nancy Musalia,Grade 1 B,PRESENT,
2026-01-06,ADM-1061,Eric Chepkirui,Grade 1 B,PRESENT,
2026-01-06,ADM-1062,Faith Owino,Grade 1 B,PRESENT,
2026-01-06,ADM-1063,Julia Kaelo,Grade 1 B,PRESENT,
2026-01-06,ADM-1064,Andrew Suleiman,Grade 1 B,PRESENT,
2026-01-06,ADM-1065,Julius Mutiso,Grade 1 B,PRESENT,
2026-01-06,ADM-1066,Nancy Abdi,Grade 1 B,PRESENT,
2026-01-06,ADM-1067,Joyce Kitonga,Grade 1 B,PRESENT,
2026-01-06,ADM-1068,Brenda Adan,Grade 1 C,PRESENT,
2026-01-06,ADM-1069,Purity Mwende,Grade 1 C,PRESENT,
2026-01-06,ADM-1070,Judith Khisa,Grade 1 C,PRESENT,
2026-01-06,ADM-1071,Stephen Wekesa,Grade 1 C,PRESENT,
2026-01-06,ADM-1072,Martin Bunoro,Grade 1 C,PRESENT,
2026-01-06,ADM-1073,Cynthia Zawadi,Grade 1 C,PRESENT,
2026-01-06,ADM-1074,Hillary Njenga,Grade 1 C,PRESENT,
2026-01-06,ADM-1075,Amara Mugambi,Grade 1 C,PRESENT,
2026-01-06,ADM-1076,Charles Kigen,Grade 1 C,PRESENT,
2026-01-06,ADM-1077,David Wanjala,Grade 1 C,PRESENT,
2026-01-06,ADM-1078,Lawrence Ciawi,Grade 1 C,PRESENT,
2026-01-06,ADM-1079,Benjamin Okello,Grade 1 C,PRESENT,
2026-01-06,ADM-1080,Samuel Sironka,Grade 1 C,PRESENT,
2026-01-06,ADM-1081,Nicholas Makokha,Grade 1 C,PRESENT,
2026-01-06,ADM-1082,Rebecca Ndolo,Grade 1 C,PRESENT,
2026-01-06,ADM-1083,William Masinde,Grade 1 C,PRESENT,
2026-01-06,ADM-1084,Victor Maina,Grade 1 C,PRESENT,
2026-01-06,ADM-1085,Mercy Mburu,Grade 1 C,PRESENT,
2026-01-06,ADM-1086,Timothy Kaelo,Grade 1 C,PRESENT,
2026-01-06,ADM-1087,Dorcas Mwinyi,Grade 1 C,PRESENT,
2026-01-06,ADM-1088,Frank Ndungu,Grade 1 C,PRESENT,
2026-01-06,ADM-1089,Faith Githinji,Grade 1 C,PRESENT,
2026-01-06,ADM-1090,Alex Akoth,Grade 1 C,PRESENT,
2026-01-06,ADM-1091,Nathaniel Wekesa,Grade 1 C,PRESENT,
2026-01-06,ADM-1092,Olivia Pekeri,Grade 1 C,PRESENT,
2026-01-06,ADM-1093,Winfred Muthoka,Grade 1 C,PRESENT,
2026-01-06,ADM-1094,Nicholas Namukuru,Grade 1 C,PRESENT,
2026-01-06,ADM-1095,Faith Mutua,Grade 1 C,PRESENT,
2026-01-06,ADM-1096,Nancy Nandwa,Grade 1 C,PRESENT,
2026-01-06,ADM-1097,Judith Kosgei,Grade 1 C,PRESENT,
2026-01-06,ADM-1098,John Metto,Grade 1 C,PRESENT,
2026-01-06,ADM-1099,Dorcas Karanja,Grade 1 C,PRESENT,
2026-01-06,ADM-1100,Faith Choge,Grade 1 C,PRESENT,
2026-01-06,ADM-1101,Eric Musyoka,Grade 2 A,PRESENT,
2026-01-06,ADM-1102,Elijah Natepo,Grade 2 A,PRESENT,
2026-01-06,ADM-1103,Alex Tanui,Grade 2 A,PRESENT,
2026-01-06,ADM-1104,Emmanuel Ndolo,Grade 2 A,ABSENT,FUNERAL
2026-01-06,ADM-1105,Magdalene Mpaine,Grade 2 A,PRESENT,
2026-01-06,ADM-1106,Gideon Tanui,Grade 2 A,PRESENT,
2026-01-06,ADM-1107,Rachael Kiprop,Grade 2 A,PRESENT,
2026-01-06,ADM-1108,Harrison Kioko,Grade 2 A,PRESENT,
2026-01-06,ADM-1109,Tabitha Bunoro,Grade 2 A,PRESENT,
2026-01-06,ADM-1110,Andrew Leshan,Grade 2 A,PRESENT,
2026-01-06,ADM-1111,Samuel Nzioka,Grade 2 A,PRESENT,
2026-01-06,ADM-1112,Diana Njeri,Grade 2 A,PRESENT,
2026-01-06,ADM-1113,Joyce Njoroge,Grade 2 A,PRESENT,
2026-01-06,ADM-1114,Fridah Kimeu,Grade 2 A,PRESENT,
2026-01-06,ADM-1115,Caleb Kioko,Grade 2 A,PRESENT,
2026-01-06,ADM-1116,Hillary Odhiambo,Grade 2 A,PRESENT,
2026-01-06,ADM-1117,Martin Zawadi,Grade 2 A,PRESENT,
2026-01-06,ADM-1118,Alex Mwangi,Grade 2 A,PRESENT,
2026-01-06,ADM-1119,Sharon Githinji,Grade 2 A,PRESENT,
2026-01-06,ADM-1120,Shalom Syombua,Grade 2 A,PRESENT,
2026-01-06,ADM-1121,Faith Omar,Grade 2 A,PRESENT,
2026-01-06,ADM-1122,Charles Mutoro,Grade 2 A,PRESENT,
2026-01-06,ADM-1123,Joshua Gatwiri,Grade 2 A,PRESENT,
2026-01-06,ADM-1124,Peter Mutoro,Grade 2 A,PRESENT,
2026-01-06,ADM-1125,Donald Kiprop,Grade 2 A,PRESENT,
2026-01-06,ADM-1126,Rachael Mbithi,Grade 2 A,PRESENT,
2026-01-06,ADM-1127,James Natepo,Grade 2 A,PRESENT,
2026-01-06,ADM-1128,Amos Langat,Grade 2 A,PRESENT,
2026-01-06,ADM-1129,Olivia Suleiman,Grade 2 A,PRESENT,
2026-01-06,ADM-1130,Isaac Mpaine,Grade 2 A,PRESENT,
2026-01-06,ADM-1131,Joshua Sichangi,Grade 2 A,PRESENT,
2026-01-06,ADM-1132,Ian Abdi,Grade 2 A,PRESENT,
2026-01-06,ADM-1133,Timothy Maundu,Grade 2 B,PRESENT,
2026-01-06,ADM-1134,Eric Kosgei,Grade 2 B,PRESENT,
2026-01-06,ADM-1135,Amara Abdalla,Grade 2 B,PRESENT,
2026-01-06,ADM-1136,Hillary Adhiambo,Grade 2 B,PRESENT,
2026-01-06,ADM-1137,Patrick Hassan,Grade 2 B,ABSENT,OTHER
2026-01-06,ADM-1138,Alex Juma,Grade 2 B,PRESENT,
2026-01-06,ADM-1139,Trevor Kinyua,Grade 2 B,PRESENT,
2026-01-06,ADM-1140,Judith Farah,Grade 2 B,ABSENT,OTHER
2026-01-06,ADM-1141,Purity Maundu,Grade 2 B,PRESENT,
2026-01-06,ADM-1142,Kiplangat Syombua,Grade 2 B,PRESENT,
2026-01-06,ADM-1143,Esther Sironka,Grade 2 B,PRESENT,
2026-01-06,ADM-1144,Harrison Njoroge,Grade 2 B,PRESENT,
2026-01-06,ADM-1145,Wesley Mwende,Grade 2 B,PRESENT,
2026-01-06,ADM-1146,Gloria Khisa,Grade 2 B,PRESENT,
2026-01-06,ADM-1147,Francis Khamis,Grade 2 B,PRESENT,
2026-01-06,ADM-1148,Moses Omondi,Grade 2 B,PRESENT,
2026-01-06,ADM-1149,Anthony Igweta,Grade 2 B,PRESENT,
2026-01-06,ADM-1150,Michael Mwangi,Grade 2 B,PRESENT,
2026-01-06,ADM-1151,Grace Juma,Grade 2 B,PRESENT,
2026-01-06,ADM-1152,Dorcas Khisa,Grade 2 B,PRESENT,
2026-01-06,ADM-1153,Hellen Langat,Grade 2 B,PRESENT,
2026-01-06,ADM-1154,Naomi Kiptum,Grade 2 B,PRESENT,
2026-01-06,ADM-1155,Wesley Njoroge,Grade 2 B,PRESENT,
2026-01-06,ADM-1156,Susan Nthiga,Grade 2 B,PRESENT,
2026-01-06,ADM-1157,Alex Hassan,Grade 2 B,PRESENT,
2026-01-06,ADM-1158,David Kimeu,Grade 2 B,PRESENT,
2026-01-06,ADM-1159,Francis Wamalwa,Grade 2 B,PRESENT,
2026-01-06,ADM-1160,Sonia Chemtai,Grade 2 B,PRESENT,
2026-01-06,ADM-1161,Gladys Onyango,Grade 2 B,PRESENT,
2026-01-06,ADM-1162,Monica Njenga,Grade 2 B,PRESENT,
2026-01-06,ADM-1163,Harrison Muthoka,Grade 2 B,ABSENT,FUNERAL
2026-01-06,ADM-1164,Janet Maina,Grade 2 B,PRESENT,
2026-01-06,ADM-1165,Vincent Chemtai,Grade 3 A,PRESENT,
2026-01-06,ADM-1166,Kennedy Leshan,Grade 3 A,PRESENT,
