FirstName,LastName,Admission No,Class,Stream,Gender,Date of Birth,Admission Date,Status,Guardian Name,Relationship,Guardian Phone,Alternative Phone,Guardian Email,Home Address,Emergency Contact,Emergency Phone
Amos,Langat,ADM-1128,Grade 2,A,Male,2018-04-11,2026-07-22,Active,Luke Langat,Father,0733 356 706,0772 569 208,,"Baraka, Nakuru",Fridah Syombua,0733 565 831
Olivia,Suleiman,ADM-1129,Grade 2,A,Female,2018-03-04,2025-05-27,Active,Collins Suleiman,Father,0751 753 878,0733 600 955,,"Sekei, Makueni",Martha Abdalla,0701 921 511
Isaac,Mpaine,ADM-1130,Grade 2,A,Male,2018-11-12,2025-04-17,Active,Edna Mpaine,Grandmother,0711 342 488,0722 969 704,edna.mpaine@outlook.com,"Huruma, Kakamega",Amos Ambani,0782 994 935
Joshua,Sichangi,ADM-1131,Grade 2,A,Male,2018-10-25,2025-06-06,Active,Mark Sichangi,Father,0740 575 324,0722 446 636,,"Embakasi, Bungoma",Magdalene Nthiga,0751 769 688
Ian,Abdi,ADM-1132,Grade 2,A,Male,2019-08-17,2025-11-26,Active,Alex Abdi,Father,0740 913 908,0762 425 683,,"Kaptembwo, Mombasa",Doreen Chepkirui,0733 446 259
Timothy,Maundu,ADM-1133,Grade 2,B,Male,2018-07-15,2026-12-26,Active,Michael Maundu,Father,0751 727 482,,,"Njiro, Bungoma",Sophia Odera,0711 688 112
Eric,Kosgei,ADM-1134,Grade 2,B,Male,2018-08-20,2025-02-04,Active,Kipchoge Kosgei,Father,0733 569 701,,kipchoge.kosgei@icloud.com,"Sakina, Kisumu",Shalom Bii,0733 286 232
Amara,Abdalla,ADM-1135,Grade 2,B,Female,2019-03-14,2026-06-03,Active,Felix Abdalla,Father,0701 166 925,,,"Bahati, Nakuru",Peninah Owino,0733 431 956
Hillary,Adhiambo,ADM-1136,Grade 2,B,Male,2018-10-19,2025-05-16,Active,Benjamin Adhiambo,Father,0733 948 489,0722 318 957,benjamin.adhiambo@gmail.com,"Section 58, Kiambu",Sharon Githinji,0701 656 216
Patrick,Hassan,ADM-1137,Grade 2,B,Male,2019-12-17,2025-06-27,Active,Sophia Hassan,Mother,0712 601 443,0762 319 218,sophia.hassan@gmail.com,"Lanet, Nairobi",Doreen Mbithi,0733 521 970
Alex,Juma,ADM-1138,Grade 2,B,Male,2019-11-17,2026-12-04,Active,Grace Juma,Mother,0792 143 105,,grace.juma@icloud.com,"Naka, Nakuru",Anthony Langat,0782 143 635
Trevor,Kinyua,ADM-1139,Grade 2,B,Male,2019-05-10,2025-12-21,Active,David Kinyua,Uncle,0740 143 544,0751 690 612,,"Kahawa Wendani, Machakos",Esther Mbithe,0740 959 468
Judith,Farah,ADM-1140,Grade 2,B,Female,2018-06-23,2025-12-28,Active,Meshack Farah,Father,0762 723 456,,meshack.farah@icloud.com,"Elgon View, Mombasa",Edwin Otieno,0772 137 518
Purity,Maundu,ADM-1141,Grade 2,B,Female,2018-11-24,2025-08-08,Active,Sonia Maundu,Grandmother,0722 836 787,,,"Ruiru, Nakuru",Amos Njeri,0722 264 984
Kiplangat,Syombua,ADM-1142,Grade 2,B,Male,2019-09-02,2025-04-24,Active,Gladys Syombua,Mother,0772 528 989,0740 930 795,gladys.syombua@protonmail.com,"Thika Road, Kakamega",Alice Khisa,0701 902 457
Esther,Sironka,ADM-1143,Grade 2,B,Female,2018-07-02,2025-12-03,Active,Vincent Sironka,Father,0711 492 680,0772 102 667,vincent.sironka@protonmail.com,"Kayole, Kisumu",Mercy Odera,0782 378 675
Harrison,Njoroge,ADM-1144,Grade 2,B,Male,2019-06-24,2025-08-13,Active,Stephen Njoroge,Father,0722 569 374,0762 885 204,stephen.njoroge@yahoo.com,"Pioneer, Makueni",Lilian Mbithe,0762 132 237
Wesley,Mwende,ADM-1145,Grade 2,B,Male,2018-10-14,2026-03-26,Active,Joshua Mwende,Grandfather,0772 932 571,,joshua.mwende@gmail.com,"Kayole, Kakamega",Rebecca Omar,0782 866 960
Gloria,Khisa,ADM-1146,Grade 2,B,Female,2019-05-01,2025-04-17,Active,Donald Khisa,Grandfather,0712 964 564,0712 147 876,donald.khisa@icloud.com,"South C, Nakuru",Gloria Omollo,0722 844 967
Francis,Khamis,ADM-1147,Grade 2,B,Male,2018-01-05,2026-06-15,Active,Timothy Khamis,Father,0792 393 156,,timothy.khamis@yahoo.com,"Kimumu, Kiambu",Naomi Githinji,0751 366 759
Moses,Omondi,ADM-1148,Grade 2,B,Male,2018-07-10,2025-02-05,Active,Mark Omondi,Grandfather,0701 959 310,0751 515 152,,"Embakasi, Nakuru",Florence Mbithe,0740 347 195
Anthony,Igweta,ADM-1149,Grade 2,B,Male,2018-06-25,2025-01-05,Active,Dennis Igweta,Father,0762 936 523,,dennis.igweta@yahoo.com,"Annex, Makueni",Nicholas Auma,0740 469 918
Michael,Mwangi,ADM-1150,Grade 2,B,Male,2018-02-05,2026-05-25,Active,Anthony Mwangi,Father,0712 886 651,0701 433 871,,"South C, Bungoma",Elijah Adhiambo,0722 209 949
Grace,Juma,ADM-1151,Grade 2,B,Female,2018-10-17,2025-07-06,Active,Ian Juma,Father,0712 842 840,,,"Embakasi, Mombasa",Alex Ogot,0740 193 920
Dorcas,Khisa,ADM-1152,Grade 2,B,Female,2019-08-22,2026-06-22,Active,James Khisa,Father,0751 354 836,0711 544 516,james.khisa@gmail.com,"Donholm, Kiambu",Julius Makhoha,0751 604 234
Hellen,Langat,ADM-1153,Grade 2,B,Female,2018-02-02,2025-12-02,Active,William Langat,Father,0782 794 269,0751 602 695,,"Kaptembwo, Kiambu",George Korir,0782 870 531
Naomi,Kiptum,ADM-1154,Grade 2,B,Female,2019-10-05,2025-03-13,Active,Elijah Kiptum,Father,0712 217 981,0740 123 549,,"Sakina, Garissa",Sharon Yusuf,0762 493 264
Wesley,Njoroge,ADM-1155,Grade 2,B,Male,2019-02-10,2026-12-23,Active,Luke Njoroge,Father,0762 450 811,,,"Milimani Estate, Kilifi",Dennis Juma,0772 223 681
Susan,Nthiga,ADM-1156,Grade 2,B,Female,2019-07-05,2026-09-25,Active,Hillary Nthiga,Father,0772 232 899,0782 971 821,hillary.nthiga@gmail.com,"Sekei, Nakuru",Agnes Lugalia,0762 305 752
Alex,Hassan,ADM-1157,Grade 2,B,Male,2018-01-12,2025-12-19,Active,Charity Hassan,Mother,0762 568 131,0712 857 679,charity.hassan@icloud.com,"Kimumu, Nakuru",Hillary Oduor,0711 831 281
David,Kimeu,ADM-1158,Grade 2,B,Male,2019-10-16,2026-07-22,Active,Gideon Kimeu,Father,0782 943 575,,gideon.kimeu@gmail.com,"Umoja, Machakos",Mercy Auma,0751 599 305
Francis,Wamalwa,ADM-1159,Grade 2,B,Male,2019-02-02,2026-12-19,Active,Winnie Wamalwa,Mother,0782 147 507,0722 451 691,winnie.wamalwa@yahoo.com,"Lake View, Bungoma",Magdalene Choge,0712 878 945
Sonia,Chemtai,ADM-1160,Grade 2,B,Female,2018-08-23,2026-12-09,Active,Patrick Chemtai,Father,0762 996 305,0751 319 414,,"Section 58, Nakuru",Irene Kiprop,0772 868 146
Gladys,Onyango,ADM-1161,Grade 2,B,Female,2018-02-17,2025-02-19,Active,Meshack Onyango,Father,0722 632 584,,,"Section 58, Kakamega",Simon Pekeri,0751 302 424
Monica,Njenga,ADM-1162,Grade 2,B,Female,2019-12-18,2025-10-02,Active,Trevor Njenga,Father,0711 133 128,,trevor.njenga@outlook.com,"Ruiru, Nairobi",Olivia Ambani,0762 379 740
Harrison,Muthoka,ADM-1163,Grade 2,B,Male,2018-03-18,2025-10-25,Active,Godfrey Muthoka,Father,0722 286 554,0762 443 288,godfrey.muthoka@outlook.com,"Kahawa Wendani, Uasin Gishu",Charity Wambua,0792 863 396
Janet,Maina,ADM-1164,Grade 2,B,Female,2018-12-20,2025-04-04,Active,Andrew Maina,Father,0733 726 331,0782 657 359,andrew.maina@gmail.com,"Elgon View, Mombasa",Elijah Njeri,0772 802 259
Vincent,Chemtai,ADM-1165,Grade 3,A,Male,2017-05-18,2024-09-10,Active,Samuel Chemtai,Father,0772 114 223,,samuel.chemtai@gmail.com,"Kimumu, Arusha",Julius Wanjala,0782 165 379
Kennedy,Leshan,ADM-1166,Grade 3,A,Male,2017-07-23,2024-09-11,Active,Peter Leshan,Father,0782 978 654,0733 157 586,peter.leshan@outlook.com,"Pioneer, Garissa",Eunice Ciawi,0792 545 297
Dennis,Mganga,ADM-1167,Grade 3,A,Male,2017-06-25,2026-04-07,Active,Patrick Mganga,Father,0740 206 587,,patrick.mganga@gmail.com,"Elgon View, Machakos",Florence Chepkirui,0782 609 646
Wesley,Baariu,ADM-1168,Grade 3,A,Male,2018-02-03,2026-10-11,Active,Michael Baariu,Father,0712 405 638,0701 871 920,michael.baariu@outlook.com,"Kondele, Mombasa",Ian Maina,0733 128 967
Edna,Igweta,ADM-1169,Grade 3,A,Female,2017-04-23,2024-09-24,Active,William Igweta,Father,0782 213 142,,william.igweta@icloud.com,"Embakasi, Uasin Gishu",Diana Mbithi,0762 243 488
Thomas,Oduor,ADM-1170,Grade 3,A,Male,2017-06-17,2024-04-24,Active,Francis Oduor,Father,0782 752 152,0762 571 384,francis.oduor@gmail.com,"Kapsoya, Makueni",Isaac Mbithi,0740 727 154
Julia,Mwangi,ADM-1171,Grade 3,A,Female,2018-03-19,2024-11-19,Active,Trevor Mwangi,Father,0712 438 860,0762 475 540,,"Kayole, Makueni",Brian Oduor,0722 639 333
Judith,Khamis,ADM-1172,Grade 3,A,Female,2018-07-04,2024-09-03,Active,George Khamis,Father,0733 449 245,,,"Kaptembwo, Mombasa",Timothy Suleiman,0740 469 193
Fridah,Mutua,ADM-1173,Grade 3,A,Female,2017-01-02,2024-05-19,Active,Alice Mutua,Aunt,0762 517 782,0712 554 317,alice.mutua@protonmail.com,"Milimani Kisumu, Uasin Gishu",Janet Achieng,0701 640 114
Frank,Kinyua,ADM-1174,Grade 3,A,Male,2018-02-18,2024-12-12,Active,Joshua Kinyua,Father,0751 326 802,,,"Annex, Uasin Gishu",Cynthia Kamau,0701 691 595
George,Auma,ADM-1175,Grade 3,A,Male,2017-05-01,2025-03-25,Active,Amos Auma,Father,0772 960 495,,,"Langas, Mombasa",Sharon Ochieng,0711 559 120
Anthony,Wekesa,ADM-1176,Grade 3,A,Male,2018-01-05,2024-10-25,Active,William Wekesa,Father,0762 327 657,0762 870 403,william.wekesa@outlook.com,"Annex, Nakuru",Magdalene Kimani,0701 950 732
Emmanuel,Anyango,ADM-1177,Grade 3,A,Male,2018-02-18,2024-01-21,Active,Kipchoge Anyango,Father,0762 518 658,0711 557 894,,"Kasarani, Makueni",Julia Mwirigi,0751 493 880
Abigail,Wanjala,ADM-1178,Grade 3,A,Female,2017-11-23,2024-11-03,Active,Trevor Wanjala,Father,0711 711 941,0762 650 149,trevor.wanjala@gmail.com,"Kahawa Wendani, Makueni",Collins Kilonzo,0792 204 320
Patrick,Ruto,ADM-1179,Grade 3,A,Male,2017-01-23,2026-03-20,Active,Faith Ruto,Mother,0792 318 870,,,"Sakina, Uasin Gishu",Anthony Juma,0792 295 655
Beatrice,Mpaine,ADM-1180,Grade 3,A,Female,2017-08-24,2024-06-03,Active,Ibrahim Mpaine,Father,0712 630 569,,,"Kahawa Wendani, Nakuru",Andrew Oluoch,0712 833 413
Meshack,Hassan,ADM-1181,Grade 3,A,Male,2017-04-08,2025-10-05,Active,Veronica Hassan,Mother,0792 477 621,,veronica.hassan@gmail.com,"South C, Kakamega",Joshua Chebet,0722 840 131
Dennis,Barasa,ADM-1182,Grade 3,A,Male,2017-05-05,2024-07-12,Active,Benjamin Barasa,Father,0701 744 368,,,"Kondele, Kiambu",Caleb Sironka,0740 752 255
Martha,Oluoch,ADM-1183,Grade 3,A,Female,2018-07-27,2025-04-15,Active,Kennedy Oluoch,Father,0782 933 989,0740 384 617,kennedy.oluoch@yahoo.com,"Naka, Kisumu",Patrick Gatwiri,0762 479 419
Kennedy,Oluoch,ADM-1184,Grade 3,A,Male,2017-05-24,2024-01-23,Active,Emmanuel Oluoch,Grandfather,0751 707 538,0712 943 851,,"Milimani Kisumu, Nakuru",Janet Omondi,0712 995 716
Priscilla,Mwangi,ADM-1185,Grade 3,A,Female,2018-07-21,2024-08-04,Active,Brian Mwangi,Father,0701 703 377,0772 186 272,brian.mwangi@outlook.com,"Milimani, Kilifi",Donald Akoth,0762 659 857
Julia,Wanjala,ADM-1186,Grade 3,A,Female,2017-03-02,2024-12-04,Active,Shalom Wanjala,Mother,0792 656 648,0762 534 218,,"Elgon View, Nakuru",Priscilla Namukuru,0712 454 272
Donald,Mutoro,ADM-1187,Grade 3,A,Male,2017-03-23,2024-05-27,Active,Benjamin Mutoro,Father,0762 427 337,,,"Milimani Estate, Kakamega",Peninah Bii,0762 382 675
Eric,Nandwa,ADM-1188,Grade 3,A,Male,2018-03-14,2024-10-21,Active,David Nandwa,Father,0733 531 528,0733 614 886,david.nandwa@gmail.com,"Lanet, Nakuru",Susan Wamalwa,0782 338 480
Faith,Adan,ADM-1189,Grade 3,A,Female,2018-02-19,2026-01-07,Active,Peninah Adan,Mother,0740 215 396,,,"Obunga, Nakuru",John Wafula,0751 400 252
Karen,Okoth,ADM-1190,Grade 3,A,Female,2018-01-03,2024-12-08,Active,Eric Okoth,Father,0782 301 914,,,"Manyatta, Nakuru",Kennedy Auma,0712 520 986
Winfred,Mwirigi,ADM-1191,Grade 3,A,Female,2017-11-16,2024-08-18,Active,Elijah Mwirigi,Father,0701 693 562,0792 913 539,,"Njiro, Arusha",Grace Nzioka,0712 306 302
James,Akoth,ADM-1192,Grade 3,A,Male,2018-09-12,2024-06-04,Active,Vincent Akoth,Father,0711 195 771,0701 415 997,vincent.akoth@yahoo.com,"Nyalenda, Kilifi",Martin Wanjiku,0711 134 940
George,Kiprop,ADM-1193,Grade 3,A,Male,2018-10-11,2024-12-27,Active,Luke Kiprop,Father,0701 528 770,,,"Sakina, Kilifi",Janet Kinyua,0792 411 126
Winnie,Kinyua,ADM-1194,Grade 3,A,Female,2018-03-22,2024-12-05,Active,Timothy Kinyua,Father,0711 607 208,,timothy.kinyua@protonmail.com,"Lanet, Garissa",Stephen Kiptum,0772 164 545
Esther,Choge,ADM-1195,Grade 3,A,Female,2018-10-16,2024-12-02,Active,Samuel Choge,Father,0712 956 457,0712 418 380,samuel.choge@gmail.com,"Sakina, Nairobi",Monica Odera,0712 376 807
Grace,Nassor,ADM-1196,Grade 3,A,Female,2017-04-14,2026-08-22,Active,Elijah Nassor,Father,0740 984 664,0740 697 744,elijah.nassor@outlook.com,"Sakina, Nakuru",Godfrey Wafula,0701 522 121
Trevor,Njuguna,ADM-1197,Grade 3,B,Male,2017-07-07,2024-11-08,Active,Daniel Njuguna,Father,0792 466 237,0762 923 195,daniel.njuguna@outlook.com,"Kiamunyi, Nakuru",Winfred Khaemba,0772 612 877
James,Mutuku,ADM-1198,Grade 3,B,Male,2017-10-12,2026-10-07,Active,Olivia Mutuku,Mother,0733 104 394,0733 275 963,olivia.mutuku@outlook.com,"Kimandolu, Kiambu",Emmanuel Kitonga,0782 781 493
Peninah,Achieng,ADM-1199,Grade 3,B,Female,2018-09-17,2024-03-26,Active,Martin Achieng,Father,0712 513 286,,,"Shabab, Nakuru",Daniel Waweru,0792 411 855
Karen,Maina,ADM-1200,Grade 3,B,Female,2018-09-17,2026-02-27,Active,Kiplangat Maina,Father,0751 363 552,0733 653 909,kiplangat.maina@protonmail.com,"Lanet, Kiambu",John Githinji,0733 960 467
Brenda,Wambui,ADM-1201,Grade 3,B,Female,2018-06-16,2024-02-12,Active,Martin Wambui,Uncle,0751 960 224,0792 121 474,martin.wambui@outlook.com,"Langas, Kiambu",Emily Sein,0762 739 625
Doreen,Njeri,ADM-1202,Grade 3,B,Female,2018-07-28,2024-08-19,Active,Joshua Njeri,Father,0701 162 217,,joshua.njeri@yahoo.com,"Embakasi, Makueni",Veronica Kimani,0733 850 528
Julius,Onyango,ADM-1203,Grade 3,B,Male,2017-02-08,2026-03-26,Active,Emmanuel Onyango,Father,0762 746 566,,emmanuel.onyango@protonmail.com,"Kiamunyi, Machakos",Hellen Mwakisha,0782 595 154
Irene,Pashua,ADM-1204,Grade 3,B,Female,2018-03-18,2024-05-20,Active,Charles Pashua,Father,0762 185 816,,charles.pashua@protonmail.com,"Pioneer, Kisumu",Judith Omar,0711 726 436
Kennedy,Kitonga,ADM-1205,Grade 3,B,Male,2018-04-26,2024-01-23,Active,Luke Kitonga,Father,0751 993 348,,luke.kitonga@protonmail.com,"Bahati, Kakamega",Hillary Mutuku,0722 410 728
Faith,Kathambi,ADM-1206,Grade 3,B,Female,2018-03-04,2024-01-21,Active,Samuel Kathambi,Father,0722 124 152,,samuel.kathambi@yahoo.com,"Kahawa Wendani, Nakuru",Gladys Kathambi,0711 986 345
Teresia,Baariu,ADM-1207,Grade 3,B,Female,2017-04-09,2024-02-06,Active,Veronica Baariu,Grandmother,0711 699 114,,,"Kimandolu, Kisumu",Sophia Wambua,0733 972 559
Edwin,Abdalla,ADM-1208,Grade 3,B,Male,2017-08-20,2024-04-03,Active,Daniel Abdalla,Father,0722 731 429,,,"Milimani Estate, Kiambu",Olivia Kathambi,0772 915 761
Meshack,Wafula,ADM-1209,Grade 3,B,Male,2018-06-27,2024-10-24,Active,David Wafula,Father,0712 236 127,,,"Kaptembwo, Garissa",Doreen Mbithi,0782 576 368
Kipchoge,Mwinyi,ADM-1210,Grade 3,B,Male,2018-04-22,2024-10-25,Active,Eunice Mwinyi,Aunt,0792 617 327,0712 318 847,,"Lanet, Kilifi",William Tianai,0751 124 920
Mark,Pashua,ADM-1211,Grade 3,B,Male,2017-06-20,2026-10-04,Active,Charity Pashua,Aunt,0751 666 629,0712 994 551,,"Nyalenda, Mombasa",Anthony Korir,0772 651 436
Grace,Langat,ADM-1212,Grade 3,B,Female,2017-04-05,2024-10-06,Active,Joyce Langat,Mother,0751 277 525,0722 682 675,joyce.langat@outlook.com,"Njiro, Kakamega",Alex Naisoi,0792 630 661
Julia,Njuguna,ADM-1213,Grade 3,B,Female,2018-06-08,2026-08-27,Active,James Njuguna,Father,0762 362 956,,,"Sekei, Bungoma",Rachael Okoth,0701 757 492
Thomas,Mwende,ADM-1214,Grade 3,B,Male,2017-10-19,2024-05-27,Active,Joseph Mwende,Father,0792 294 493,,joseph.mwende@protonmail.com,"Nyalenda, Mombasa",Amara Khamis,0762 547 832
Edwin,Namukuru,ADM-1215,Grade 3,B,Male,2018-03-04,2026-09-17,Active,Damaris Namukuru,Grandmother,0722 336 596,0762 745 732,damaris.namukuru@protonmail.com,"Shabab, Uasin Gishu",Grace Kombo,0711 330 284
Joseph,Kirimi,ADM-1216,Grade 3,B,Male,2018-04-20,2026-11-03,Active,Samuel Kirimi,Father,0762 696 560,0762 978 276,samuel.kirimi@icloud.com,"Milimani Kisumu, Kiambu",Susan Omondi,0762 269 597
Elijah,Odera,ADM-1217,Grade 3,B,Male,2018-11-11,2024-08-07,Active,Gideon Odera,Father,0740 825 632,,gideon.odera@protonmail.com,"Kapsoya, Machakos",Dennis Ali,0772 221 481
Gideon,Kitonga,ADM-1218,Grade 3,B,Male,2017-08-04,2024-07-01,Active,Andrew Kitonga,Father,0701 444 553,0762 937 128,andrew.kitonga@gmail.com,"Kaptembwo, Machakos",Luke Bakari,0782 115 123
Francis,Okoth,ADM-1219,Grade 3,B,Male,2018-10-23,2024-09-24,Active,Charity Okoth,Mother,0711 191 467,0733 354 952,charity.okoth@icloud.com,"Sakina, Nakuru",Naomi Bakari,0711 909 129
Gloria,Odhiambo,ADM-1220,Grade 3,B,Female,2018-01-17,2024-04-01,Active,Edwin Odhiambo,Father,0733 410 896,,,"Baraka, Garissa",Hellen Mwende,0711 828 714
Monica,Kombo,ADM-1221,Grade 3,B,Female,2018-10-06,2026-12-07,Active,Esther Kombo,Mother,0711 933 627,0701 351 233,esther.kombo@icloud.com,"Kaptembwo, Nairobi",Teresia Farah,0762 343 829
Abigail,Khisa,ADM-1222,Grade 3,B,Female,2018-01-21,2024-02-03,Active,Ibrahim Khisa,Father,0701 689 948,0772 757 767,ibrahim.khisa@outlook.com,"Milimani, Nakuru",Charles Nandwa,0782 679 924
Simon,Gitau,ADM-1223,Grade 3,B,Male,2017-07-16,2024-10-02,Active,Felix Gitau,Father,0701 795 415,0722 757 547,felix.gitau@gmail.com,"Olasiti, Kisumu",Alice Njoroge,0733 358 402
Frank,Abdalla,ADM-1224,Grade 3,B,Male,2017-04-05,2024-11-18,Active,Patrick Abdalla,Father,0751 130 582,0782 759 454,patrick.abdalla@outlook.com,"Njiro, Arusha",Elijah Wambui,0772 418 755
Zachary,Oluoch,ADM-1225,Grade 3,B,Male,2018-12-27,2024-08-22,Active,Fridah Oluoch,Mother,0712 517 378,0772 456 268,fridah.oluoch@icloud.com,"Sakina, Garissa",Samuel Bii,0712 503 818
Vincent,Ciawi,ADM-1226,Grade 3,B,Male,2018-10-02,2024-01-15,Active,Samuel Ciawi,Father,0733 362 370,,samuel.ciawi@protonmail.com,"Kimumu, Garissa",Hillary Langat,0712 462 166
Susan,Wamalwa,ADM-1227,Grade 3,B,Female,2017-01-26,2026-02-24,Active,Amos Wamalwa,Father,0712 213 182,,amos.wamalwa@protonmail.com,"Shabab, Garissa",Janet Kinyua,0722 845 414
Michael,Wambua,ADM-1228,Grade 3,B,Male,2017-10-02,2026-09-19,Active,Meshack Wambua,Father,0792 644 656,,meshack.wambua@icloud.com,"Sekei, Garissa",Trevor Odera,0772 968 219
Wesley,Noor,ADM-1229,Grade 4,A,Male,2016-11-12,2026-11-24,Active,Trevor Noor,Father,0762 984 470,,,"Section 58, Arusha",Kipchoge Ali,0722 706 795
Felix,Masinde,ADM-1230,Grade 4,A,Male,2017-12-16,2024-11-06,Active,David Masinde,Father,0782 781 666,,,"Olasiti, Machakos",Caleb Odera,0782 360 719
Caleb,Maundu,ADM-1231,Grade 4,A,Male,2016-09-03,2023-10-09,Active,Isaac Maundu,Father,0751 858 344,0740 354 333,isaac.maundu@yahoo.com,"Annex, Nakuru",Thomas Wamalwa,0733 284 997
Naomi,Wambua,ADM-1232,Grade 4,A,Female,2016-07-17,2023-08-01,Active,Faith Wambua,Guardian,0722 488 625,0740 477 814,faith.wambua@outlook.com,"Kasarani, Kilifi",Samuel Pashua,0751 967 551
Michael,Syombua,ADM-1233,Grade 4,A,Male,2017-11-12,2023-05-04,Active,Caleb Syombua,Father,0751 681 609,0762 678 704,caleb.syombua@icloud.com,"Sakina, Nakuru",Eunice Chepkirui,0722 452 235
William,Omollo,ADM-1234,Grade 4,A,Male,2016-03-09,2024-09-24,Active,Julius Omollo,Father,0792 711 633,0722 662 528,julius.omollo@outlook.com,"Lanet, Kisumu",Lawrence Hassan,0701 189 588
Kennedy,Chemtai,ADM-1235,Grade 4,A,Male,2016-04-22,2023-04-22,Active,Brian Chemtai,Uncle,0792 123 857,,brian.chemtai@protonmail.com,"Sakina, Machakos",Damaris Kithinji,0782 237 501
Harrison,Kitonga,ADM-1236,Grade 4,A,Male,2016-07-21,2023-10-06,Active,Mark Kitonga,Father,0712 606 589,0722 229 522,,"Embakasi, Nakuru",David Simiyu,0701 400 536
Teresia,Kinyua,ADM-1237,Grade 4,A,Female,2016-04-24,2023-01-18,Active,George Kinyua,Father,0772 948 483,0722 637 749,,"Nyawita, Nakuru",Amos Bunoro,0772 690 199
Kiplangat,Sichangi,ADM-1238,Grade 4,A,Male,2016-11-06,2025-04-25,Active,Edwin Sichangi,Father,0792 575 557,0792 774 935,edwin.sichangi@yahoo.com,"Kimumu, Nakuru",Gloria Chepkoech,0751 234 579
Kiplangat,Pekeri,ADM-1239,Grade 4,A,Male,2017-03-23,2023-06-26,Active,Julius Pekeri,Father,0762 415 118,,,"Milimani, Kakamega",Simon Ndolo,0740 760 790
Joshua,Ciawi,ADM-1240,Grade 4,A,Male,2017-04-26,2026-05-10,Active,Lawrence Ciawi,Father,0782 298 639,0751 503 106,,"Manyatta, Nakuru",Susan Njeri,0711 860 757
Trevor,Igweta,ADM-1241,Grade 4,A,Male,2017-07-13,2023-04-18,Active,Thomas Igweta,Father,0762 860 827,,thomas.igweta@outlook.com,"Sekei, Kisumu",Amos Mganga,0792 568 353
Emily,Gatwiri,ADM-1242,Grade 4,A,Female,2017-08-04,2023-02-27,Active,Moses Gatwiri,Father,0751 393 841,,moses.gatwiri@protonmail.com,"Sakina, Kisumu",Peninah Metto,0712 466 785
Anthony,Muthoka,ADM-1243,Grade 4,A,Male,2016-01-12,2024-09-21,Active,Luke Muthoka,Father,0733 542 305,0733 822 555,luke.muthoka@protonmail.com,"Kayole, Nakuru",Edwin Yusuf,0762 501 539
Magdalene,Nzomo,ADM-1244,Grade 4,A,Female,2016-07-26,2026-02-02,Active,Ian Nzomo,Father,0751 808 884,,,"Pioneer, Bungoma",Mercy Nandwa,0733 896 420
Michael,Wamalwa,ADM-1245,Grade 4,A,Male,2017-12-06,2026-09-27,Active,Andrew Wamalwa,Father,0701 990 743,,andrew.wamalwa@yahoo.com,"Huruma, Kakamega",Moses Kinyua,0701 635 320
Brian,Anyango,ADM-1246,Grade 4,A,Male,2017-09-13,2023-09-11,Active,Yvonne Anyango,Grandmother,0740 985 893,0701 630 485,yvonne.anyango@yahoo.com,"Annex, Kisumu",Sonia Kigen,0792 980 935
Florence,Farah,ADM-1247,Grade 4,A,Female,2016-09-27,2026-05-16,Active,Frank Farah,Father,0782 440 532,0772 329 526,frank.farah@outlook.com,"Kiamunyi, Nakuru",Tabitha Chemtai,0733 554 998
Kevin,Mutoro,ADM-1248,Grade 4,A,Male,2016-05-14,2026-11-18,Active,Collins Mutoro,Father,0712 523 870,0722 260 246,,"Migosi, Mombasa",Nancy Mwangi,0792 586 198
Teresia,Kimeu,ADM-1249,Grade 4,A,Female,2016-08-07,2023-05-23,Active,Judith Kimeu,Grandmother,0792 729 556,0722 346 399,,"Nyalenda, Mombasa",Meshack Khaemba,0722 307 963
Anthony,Khisa,ADM-1250,Grade 4,A,Male,2016-05-14,2023-06-22,Active,Simon Khisa,Father,0701 686 112,,,"Sekei, Makueni",William Owino,0712 561 972
Hellen,Omondi,ADM-1251,Grade 4,A,Female,2016-01-21,2023-01-24,Active,Purity Omondi,Aunt,0751 606 156,,purity.omondi@icloud.com,"Kahawa Wendani, Nakuru",Edwin Naisoi,0762 382 851
Lilian,Suleiman,ADM-1252,Grade 4,A,Female,2017-09-23,2026-05-22,Active,Simon Suleiman,Father,0712 728 838,,,"South C, Machakos",Nicholas Kiprop,0711 468 100
Martha,Kimutai,ADM-1253,Grade 4,A,Female,2017-09-17,2023-03-26,Active,Martin Kimutai,Father,0740 502 313,0722 488 462,,"Sekei, Nakuru",Florence Makhoha,0772 759 478
Kipchoge,Kinyua,ADM-1254,Grade 4,A,Male,2017-10-27,2023-09-26,Active,Benjamin Kinyua,Father,0740 829 199,0701 155 145,,"Nyawita, Machakos",Abigail Adan,0751 875 155
Sophia,Kithinji,ADM-1255,Grade 4,A,Female,2016-07-16,2023-12-23,Active,Dorcas Kithinji,Mother,0762 499 478,0701 206 210,dorcas.kithinji@yahoo.com,"Sakina, Nakuru",Sarah Zawadi,0782 983 954
Lilian,Ambani,ADM-1256,Grade 4,A,Female,2017-02-23,2023-05-02,Active,Collins Ambani,Father,0722 531 539,0782 271 338,collins.ambani@icloud.com,"South B, Kisumu",Agnes Mugambi,0782 669 521
Thomas,Adan,ADM-1257,Grade 4,A,Male,2016-04-01,2024-02-20,Active,James Adan,Father,0762 861 829,0701 371 980,,"South B, Kilifi",Teresia Odhiambo,0711 773 771
