Receipt No,Admission No,Student Name,Class,Term,Year,Amount (KES),Payment Method,Reference No,Paid By,Payment Date,Recorded By
BP-2026-0536,ADM-1092,Olivia Pekeri,Grade 1 C,Term 3,2026,3100,M-PESA,QWH-26839,Kiplangat Pekeri,2026-09-14,Rebecca Wanjala
BP-2026-0537,ADM-1092,Olivia Pekeri,Grade 1 C,Term 3,2026,1500,Bank Transfer,RTN-46457,Kiplangat Pekeri,2026-10-14,Monica Wanjiru
BP-2026-0538,ADM-1092,Olivia Pekeri,Grade 1 C,Term 3,2026,4400,Cash,CSH-77616,Kiplangat Pekeri,2026-10-27,Rebecca Wanjala
BP-2026-0539,ADM-1093,Winfred Muthoka,Grade 1 C,Term 1,2026,8200,Cheque,CHQ-27024,Joshua Muthoka,2026-01-24,Andreah Smithh
BP-2026-0540,ADM-1093,Winfred Muthoka,Grade 1 C,Term 1,2026,13700,M-PESA,QWH-56633,Joshua Muthoka,2026-02-04,Rebecca Wanjala
BP-2026-0541,ADM-1093,Winfred Muthoka,Grade 1 C,Term 2,2026,15000,M-PESA,QWH-28618,Joshua Muthoka,2026-05-17,Andreah Smithh
BP-2026-0542,ADM-1094,Nicholas Namukuru,Grade 1 C,Term 1,2026,15900,Cash,CSH-91720,Rebecca Namukuru,2026-01-25,Monica Wanjiru
BP-2026-0543,ADM-1094,Nicholas Namukuru,Grade 1 C,Term 2,2026,15000,Cash,CSH-72896,Rebecca Namukuru,2026-05-25,Rebecca Wanjala
BP-2026-0544,ADM-1094,Nicholas Namukuru,Grade 1 C,Term 3,2026,1600,Bank Transfer,RTN-91701,Rebecca Namukuru,2026-09-12,Rebecca Wanjala
BP-2026-0545,ADM-1094,Nicholas Namukuru,Grade 1 C,Term 3,2026,4200,Cheque,CHQ-30554,Rebecca Namukuru,2026-09-25,Monica Wanjiru
BP-2026-0546,ADM-1095,Faith Mutua,Grade 1 C,Term 1,2026,12000,Bank Transfer,RTN-48278,David Mutua,2026-01-20,Andreah Smithh
BP-2026-0547,ADM-1095,Faith Mutua,Grade 1 C,Term 1,2026,10900,M-PESA,QWH-23315,David Mutua,2026-02-10,Monica Wanjiru
BP-2026-0548,ADM-1095,Faith Mutua,Grade 1 C,Term 1,2026,9100,Bank Transfer,RTN-73134,David Mutua,2026-02-10,Rebecca Wanjala
BP-2026-0549,ADM-1095,Faith Mutua,Grade 1 C,Term 2,2026,13000,Bank Transfer,RTN-24926,David Mutua,2026-05-10,Andreah Smithh
BP-2026-0550,ADM-1095,Faith Mutua,Grade 1 C,Term 3,2026,3200,M-PESA,QWH-66472,David Mutua,2026-09-20,Andreah Smithh
BP-2026-0551,ADM-1095,Faith Mutua,Grade 1 C,Term 3,2026,5800,Cheque,CHQ-57406,David Mutua,2026-09-30,Monica Wanjiru
BP-2026-0552,ADM-1096,Nancy Nandwa,Grade 1 C,Term 1,2026,32000,Bank Transfer,RTN-49837,Felix Nandwa,2026-01-27,Andreah Smithh
BP-2026-0553,ADM-1096,Nancy Nandwa,Grade 1 C,Term 2,2026,2300,Cash,CSH-67009,Felix Nandwa,2026-05-14,Rebecca Wanjala
BP-2026-0554,ADM-1096,Nancy Nandwa,Grade 1 C,Term 2,2026,6200,Cheque,CHQ-23415,Felix Nandwa,2026-06-14,Andreah Smithh
BP-2026-0555,ADM-1097,Judith Kosgei,Grade 1 C,Term 1,2026,18900,Cheque,CHQ-58921,Joseph Kosgei,2026-01-10,Andreah Smithh
BP-2026-0556,ADM-1097,Judith Kosgei,Grade 1 C,Term 2,2026,15000,M-PESA,QWH-20796,Joseph Kosgei,2026-06-04,Monica Wanjiru
BP-2026-0557,ADM-1097,Judith Kosgei,Grade 1 C,Term 3,2026,9000,Bank Transfer,RTN-79457,Joseph Kosgei,2026-09-25,Andreah Smithh
BP-2026-0558,ADM-1098,John Metto,Grade 1 C,Term 1,2026,30000,Bank Transfer,RTN-95741,Edna Metto,2026-01-19,Andreah Smithh
BP-2026-0559,ADM-1098,John Metto,Grade 1 C,Term 2,2026,3800,Cash,CSH-48643,Edna Metto,2026-05-27,Andreah Smithh
BP-2026-0560,ADM-1098,John Metto,Grade 1 C,Term 2,2026,5900,M-PESA,QWH-95265,Edna Metto,2026-06-12,Monica Wanjiru
BP-2026-0561,ADM-1098,John Metto,Grade 1 C,Term 2,2026,5300,M-PESA,QWH-21898,Edna Metto,2026-06-24,Rebecca Wanjala
BP-2026-0562,ADM-1098,John Metto,Grade 1 C,Term 3,2026,2300,Cash,CSH-95087,Edna Metto,2026-09-10,Monica Wanjiru
BP-2026-0563,ADM-1098,John Metto,Grade 1 C,Term 3,2026,1500,Bank Transfer,RTN-81569,Edna Metto,2026-10-06,Andreah Smithh
BP-2026-0564,ADM-1098,John Metto,Grade 1 C,Term 3,2026,2900,M-PESA,QWH-26124,Edna Metto,2026-10-25,Andreah Smithh
BP-2026-0565,ADM-1099,Dorcas Karanja,Grade 1 C,Term 1,2026,13900,Bank Transfer,RTN-39967,Ian Karanja,2026-01-27,Monica Wanjiru
BP-2026-0566,ADM-1099,Dorcas Karanja,Grade 1 C,Term 1,2026,16100,M-PESA,QWH-60565,Ian Karanja,2026-01-31,Monica Wanjiru
BP-2026-0567,ADM-1099,Dorcas Karanja,Grade 1 C,Term 3,2026,2100,Cash,CSH-10774,Ian Karanja,2026-09-10,Andreah Smithh
BP-2026-0568,ADM-1099,Dorcas Karanja,Grade 1 C,Term 3,2026,1800,Bank Transfer,RTN-29640,Ian Karanja,2026-10-04,Rebecca Wanjala
BP-2026-0569,ADM-1099,Dorcas Karanja,Grade 1 C,Term 3,2026,1900,M-PESA,QWH-38630,Ian Karanja,2026-10-27,Monica Wanjiru
BP-2026-0570,ADM-1100,Faith Choge,Grade 1 C,Term 1,2026,30000,Cash,CSH-91727,Amara Choge,2026-01-29,Andreah Smithh
BP-2026-0571,ADM-1100,Faith Choge,Grade 1 C,Term 2,2026,7500,Cheque,CHQ-32582,Amara Choge,2026-05-26,Monica Wanjiru
BP-2026-0572,ADM-1100,Faith Choge,Grade 1 C,Term 2,2026,2600,M-PESA,QWH-67542,Amara Choge,2026-05-26,Rebecca Wanjala
BP-2026-0573,ADM-1100,Faith Choge,Grade 1 C,Term 2,2026,4900,Bank Transfer,RTN-28480,Amara Choge,2026-07-02,Rebecca Wanjala
BP-2026-0574,ADM-1100,Faith Choge,Grade 1 C,Term 3,2026,4000,M-PESA,QWH-22456,Amara Choge,2026-09-14,Monica Wanjiru
BP-2026-0575,ADM-1100,Faith Choge,Grade 1 C,Term 3,2026,2200,Cash,CSH-97944,Amara Choge,2026-09-28,Rebecca Wanjala
BP-2026-0576,ADM-1100,Faith Choge,Grade 1 C,Term 3,2026,2800,M-PESA,QWH-27369,Amara Choge,2026-11-01,Andreah Smithh
BP-2026-0577,ADM-1101,Eric Musyoka,Grade 2 A,Term 1,2026,6500,M-PESA,QWH-63767,Moses Musyoka,2026-01-20,Rebecca Wanjala
BP-2026-0578,ADM-1101,Eric Musyoka,Grade 2 A,Term 1,2026,14800,Cash,CSH-16622,Moses Musyoka,2026-02-04,Rebecca Wanjala
BP-2026-0579,ADM-1101,Eric Musyoka,Grade 2 A,Term 3,2026,1100,Cash,CSH-72275,Moses Musyoka,2026-09-30,Andreah Smithh
BP-2026-0580,ADM-1101,Eric Musyoka,Grade 2 A,Term 3,2026,3000,Cash,CSH-55042,Moses Musyoka,2026-10-12,Rebecca Wanjala
BP-2026-0581,ADM-1102,Elijah Natepo,Grade 2 A,Term 1,2026,30000,M-PESA,QWH-33740,Trevor Natepo,2026-01-20,Andreah Smithh
BP-2026-0582,ADM-1102,Elijah Natepo,Grade 2 A,Term 2,2026,3900,Bank Transfer,RTN-49483,Trevor Natepo,2026-05-19,Rebecca Wanjala
BP-2026-0583,ADM-1102,Elijah Natepo,Grade 2 A,Term 2,2026,5700,M-PESA,QWH-96500,Trevor Natepo,2026-05-25,Rebecca Wanjala
BP-2026-0584,ADM-1102,Elijah Natepo,Grade 2 A,Term 2,2026,5400,Bank Transfer,RTN-45775,Trevor Natepo,2026-06-30,Andreah Smithh
BP-2026-0585,ADM-1102,Elijah Natepo,Grade 2 A,Term 3,2026,4900,M-PESA,QWH-74369,Trevor Natepo,2026-09-27,Rebecca Wanjala
BP-2026-0586,ADM-1102,Elijah Natepo,Grade 2 A,Term 3,2026,4100,M-PESA,QWH-39423,Trevor Natepo,2026-10-20,Andreah Smithh
BP-2026-0587,ADM-1103,Alex Tanui,Grade 2 A,Term 1,2026,11600,Cash,CSH-48923,Purity Tanui,2026-01-27,Andreah Smithh
BP-2026-0588,ADM-1103,Alex Tanui,Grade 2 A,Term 1,2026,7900,Cash,CSH-52328,Purity Tanui,2026-02-14,Andreah Smithh
BP-2026-0589,ADM-1103,Alex Tanui,Grade 2 A,Term 1,2026,10500,M-PESA,QWH-37112,Purity Tanui,2026-03-02,Monica Wanjiru
BP-2026-0590,ADM-1103,Alex Tanui,Grade 2 A,Term 2,2026,4200,Bank Transfer,RTN-17240,Purity Tanui,2026-05-30,Andreah Smithh
BP-2026-0591,ADM-1103,Alex Tanui,Grade 2 A,Term 2,2026,4600,Bank Transfer,RTN-88760,Purity Tanui,2026-06-07,Monica Wanjiru
BP-2026-0592,ADM-1103,Alex Tanui,Grade 2 A,Term 2,2026,6200,M-PESA,QWH-43686,Purity Tanui,2026-06-23,Andreah Smithh
BP-2026-0593,ADM-1103,Alex Tanui,Grade 2 A,Term 3,2026,3000,Cheque,CHQ-57088,Purity Tanui,2026-09-19,Andreah Smithh
BP-2026-0594,ADM-1103,Alex Tanui,Grade 2 A,Term 3,2026,6000,M-PESA,QWH-48183,Purity Tanui,2026-10-01,Rebecca Wanjala
BP-2026-0595,ADM-1104,Emmanuel Ndolo,Grade 2 A,Term 1,2026,30000,Bank Transfer,RTN-22409,Julia Ndolo,2026-01-23,Monica Wanjiru
BP-2026-0596,ADM-1104,Emmanuel Ndolo,Grade 2 A,Term 2,2026,4900,Cheque,CHQ-71299,Julia Ndolo,2026-05-07,Rebecca Wanjala
BP-2026-0597,ADM-1104,Emmanuel Ndolo,Grade 2 A,Term 2,2026,7300,Cash,CSH-21491,Julia Ndolo,2026-06-12,Rebecca Wanjala
BP-2026-0598,ADM-1104,Emmanuel Ndolo,Grade 2 A,Term 3,2026,5400,Bank Transfer,RTN-68617,Julia Ndolo,2026-09-16,Rebecca Wanjala
BP-2026-0599,ADM-1105,Magdalene Mpaine,Grade 2 A,Term 1,2026,13900,Bank Transfer,RTN-51830,Maureen Mpaine,2026-01-19,Andreah Smithh
BP-2026-0600,ADM-1105,Magdalene Mpaine,Grade 2 A,Term 1,2026,16100,Cash,CSH-76524,Maureen Mpaine,2026-02-05,Andreah Smithh
BP-2026-0601,ADM-1105,Magdalene Mpaine,Grade 2 A,Term 2,2026,13500,M-PESA,QWH-15125,Maureen Mpaine,2026-05-11,Andreah Smithh
BP-2026-0602,ADM-1105,Magdalene Mpaine,Grade 2 A,Term 3,2026,2600,Cash,CSH-44262,Maureen Mpaine,2026-09-28,Rebecca Wanjala
BP-2026-0603,ADM-1105,Magdalene Mpaine,Grade 2 A,Term 3,2026,1000,Bank Transfer,RTN-53761,Maureen Mpaine,2026-09-28,Monica Wanjiru
BP-2026-0604,ADM-1105,Magdalene Mpaine,Grade 2 A,Term 3,2026,2400,M-PESA,QWH-36715,Maureen Mpaine,2026-10-31,Monica Wanjiru
BP-2026-0605,ADM-1106,Gideon Tanui,Grade 2 A,Term 1,2026,30000,Cash,CSH-57951,Joshua Tanui,2026-01-25,Andreah Smithh
BP-2026-0606,ADM-1106,Gideon Tanui,Grade 2 A,Term 2,2026,5400,Cash,CSH-21901,Joshua Tanui,2026-05-09,Rebecca Wanjala
BP-2026-0607,ADM-1106,Gideon Tanui,Grade 2 A,Term 2,2026,6900,Bank Transfer,RTN-91227,Joshua Tanui,2026-06-08,Monica Wanjiru
BP-2026-0608,ADM-1106,Gideon Tanui,Grade 2 A,Term 3,2026,1900,Cash,CSH-83333,Joshua Tanui,2026-10-03,Andreah Smithh
BP-2026-0609,ADM-1106,Gideon Tanui,Grade 2 A,Term 3,2026,1200,Cheque,CHQ-23838,Joshua Tanui,2026-10-06,Rebecca Wanjala
BP-2026-0610,ADM-1106,Gideon Tanui,Grade 2 A,Term 3,2026,1400,Cash,CSH-49736,Joshua Tanui,2026-10-31,Andreah Smithh
BP-2026-0611,ADM-1107,Rachael Kiprop,Grade 2 A,Term 1,2026,13700,M-PESA,QWH-21944,Gideon Kiprop,2026-01-19,Andreah Smithh
BP-2026-0612,ADM-1107,Rachael Kiprop,Grade 2 A,Term 1,2026,8000,Cheque,CHQ-89274,Gideon Kiprop,2026-02-16,Rebecca Wanjala
BP-2026-0613,ADM-1107,Rachael Kiprop,Grade 2 A,Term 1,2026,8300,Bank Transfer,RTN-63321,Gideon Kiprop,2026-02-26,Rebecca Wanjala
BP-2026-0614,ADM-1107,Rachael Kiprop,Grade 2 A,Term 2,2026,4700,Bank Transfer,RTN-54205,Gideon Kiprop,2026-05-20,Andreah Smithh
BP-2026-0615,ADM-1107,Rachael Kiprop,Grade 2 A,Term 2,2026,4400,Cheque,CHQ-66399,Gideon Kiprop,2026-06-01,Monica Wanjiru
BP-2026-0616,ADM-1107,Rachael Kiprop,Grade 2 A,Term 2,2026,5900,Cash,CSH-93645,Gideon Kiprop,2026-06-22,Andreah Smithh
BP-2026-0617,ADM-1107,Rachael Kiprop,Grade 2 A,Term 3,2026,2000,Cash,CSH-45736,Gideon Kiprop,2026-09-22,Rebecca Wanjala
BP-2026-0618,ADM-1107,Rachael Kiprop,Grade 2 A,Term 3,2026,4200,Bank Transfer,RTN-12140,Gideon Kiprop,2026-10-05,Andreah Smithh
BP-2026-0619,ADM-1108,Harrison Kioko,Grade 2 A,Term 1,2026,30000,M-PESA,QWH-18366,Eric Kioko,2026-01-14,Monica Wanjiru
BP-2026-0620,ADM-1108,Harrison Kioko,Grade 2 A,Term 2,2026,5700,Bank Transfer,RTN-45611,Eric Kioko,2026-05-11,Monica Wanjiru
BP-2026-0621,ADM-1108,Harrison Kioko,Grade 2 A,Term 2,2026,3400,Bank Transfer,RTN-21114,Eric Kioko,2026-06-19,Rebecca Wanjala
BP-2026-0622,ADM-1108,Harrison Kioko,Grade 2 A,Term 2,2026,5900,Cash,CSH-33988,Eric Kioko,2026-06-29,Rebecca Wanjala
BP-2026-0623,ADM-1109,Tabitha Bunoro,Grade 2 A,Term 1,2026,8700,M-PESA,QWH-93884,Frank Bunoro,2026-01-25,Andreah Smithh
BP-2026-0624,ADM-1109,Tabitha Bunoro,Grade 2 A,Term 1,2026,21300,Cheque,CHQ-82260,Frank Bunoro,2026-02-09,Andreah Smithh
BP-2026-0625,ADM-1109,Tabitha Bunoro,Grade 2 A,Term 2,2026,5300,M-PESA,QWH-57652,Frank Bunoro,2026-05-27,Rebecca Wanjala
BP-2026-0626,ADM-1109,Tabitha Bunoro,Grade 2 A,Term 2,2026,5000,M-PESA,QWH-62367,Frank Bunoro,2026-06-08,Rebecca Wanjala
BP-2026-0627,ADM-1109,Tabitha Bunoro,Grade 2 A,Term 2,2026,4700,M-PESA,QWH-20556,Frank Bunoro,2026-06-29,Andreah Smithh
BP-2026-0628,ADM-1109,Tabitha Bunoro,Grade 2 A,Term 3,2026,3200,M-PESA,QWH-87474,Frank Bunoro,2026-09-12,Rebecca Wanjala
BP-2026-0629,ADM-1110,Andrew Leshan,Grade 2 A,Term 1,2026,30000,Cheque,CHQ-82926,Maureen Leshan,2026-01-14,Monica Wanjiru
BP-2026-0630,ADM-1110,Andrew Leshan,Grade 2 A,Term 2,2026,3100,M-PESA,QWH-55162,Maureen Leshan,2026-05-24,Andreah Smithh
BP-2026-0631,ADM-1110,Andrew Leshan,Grade 2 A,Term 2,2026,6800,M-PESA,QWH-91985,Maureen Leshan,2026-06-06,Monica Wanjiru
BP-2026-0632,ADM-1110,Andrew Leshan,Grade 2 A,Term 3,2026,6500,Bank Transfer,RTN-82339,Maureen Leshan,2026-10-02,Monica Wanjiru
BP-2026-0633,ADM-1111,Samuel Nzioka,Grade 2 A,Term 1,2026,13400,M-PESA,QWH-41073,Joseph Nzioka,2026-01-25,Monica Wanjiru
BP-2026-0634,ADM-1111,Samuel Nzioka,Grade 2 A,Term 1,2026,16600,Bank Transfer,RTN-73643,Joseph Nzioka,2026-01-23,Monica Wanjiru
BP-2026-0635,ADM-1111,Samuel Nzioka,Grade 2 A,Term 2,2026,5600,M-PESA,QWH-49279,Joseph Nzioka,2026-05-28,Andreah Smithh
BP-2026-0636,ADM-1111,Samuel Nzioka,Grade 2 A,Term 2,2026,5000,M-PESA,QWH-71232,Joseph Nzioka,2026-06-11,Rebecca Wanjala
BP-2026-0637,ADM-1111,Samuel Nzioka,Grade 2 A,Term 2,2026,4400,M-PESA,QWH-92290,Joseph Nzioka,2026-06-25,Rebecca Wanjala
BP-2026-0638,ADM-1111,Samuel Nzioka,Grade 2 A,Term 3,2026,3700,M-PESA,QWH-67157,Joseph Nzioka,2026-09-15,Rebecca Wanjala
BP-2026-0639,ADM-1111,Samuel Nzioka,Grade 2 A,Term 3,2026,2200,M-PESA,QWH-44909,Joseph Nzioka,2026-10-15,Monica Wanjiru
BP-2026-0640,ADM-1111,Samuel Nzioka,Grade 2 A,Term 3,2026,3100,Bank Transfer,RTN-76995,Joseph Nzioka,2026-10-30,Andreah Smithh
BP-2026-0641,ADM-1112,Diana Njeri,Grade 2 A,Term 1,2026,12900,M-PESA,QWH-25367,Yvonne Njeri,2026-01-12,Andreah Smithh
BP-2026-0642,ADM-1112,Diana Njeri,Grade 2 A,Term 1,2026,17100,M-PESA,QWH-13713,Yvonne Njeri,2026-02-01,Rebecca Wanjala
BP-2026-0643,ADM-1112,Diana Njeri,Grade 2 A,Term 2,2026,6800,M-PESA,QWH-50680,Yvonne Njeri,2026-05-17,Andreah Smithh
BP-2026-0644,ADM-1112,Diana Njeri,Grade 2 A,Term 2,2026,8200,M-PESA,QWH-57163,Yvonne Njeri,2026-06-02,Rebecca Wanjala
BP-2026-0645,ADM-1112,Diana Njeri,Grade 2 A,Term 3,2026,2700,M-PESA,QWH-74006,Yvonne Njeri,2026-09-18,Andreah Smithh
BP-2026-0646,ADM-1112,Diana Njeri,Grade 2 A,Term 3,2026,2300,Cash,CSH-34886,Yvonne Njeri,2026-10-10,Rebecca Wanjala
BP-2026-0647,ADM-1113,Joyce Njoroge,Grade 2 A,Term 1,2026,12300,Cash,CSH-26343,Zipporah Njoroge,2026-01-27,Monica Wanjiru
BP-2026-0648,ADM-1113,Joyce Njoroge,Grade 2 A,Term 1,2026,17700,M-PESA,QWH-78806,Zipporah Njoroge,2026-01-27,Andreah Smithh
BP-2026-0649,ADM-1113,Joyce Njoroge,Grade 2 A,Term 2,2026,4500,M-PESA,QWH-38447,Zipporah Njoroge,2026-05-21,Andreah Smithh
BP-2026-0650,ADM-1113,Joyce Njoroge,Grade 2 A,Term 2,2026,10500,M-PESA,QWH-43018,Zipporah Njoroge,2026-06-07,Andreah Smithh
BP-2026-0651,ADM-1113,Joyce Njoroge,Grade 2 A,Term 3,2026,3100,M-PESA,QWH-23541,Zipporah Njoroge,2026-09-29,Monica Wanjiru
BP-2026-0652,ADM-1113,Joyce Njoroge,Grade 2 A,Term 3,2026,3700,Cash,CSH-21138,Zipporah Njoroge,2026-10-04,Monica Wanjiru
BP-2026-0653,ADM-1114,Fridah Kimeu,Grade 2 A,Term 1,2026,12300,Cash,CSH-66743,Julius Kimeu,2026-01-30,Rebecca Wanjala
BP-2026-0654,ADM-1114,Fridah Kimeu,Grade 2 A,Term 1,2026,17700,Bank Transfer,RTN-51472,Julius Kimeu,2026-01-27,Rebecca Wanjala
BP-2026-0655,ADM-1114,Fridah Kimeu,Grade 2 A,Term 2,2026,7400,Cheque,CHQ-76150,Julius Kimeu,2026-05-08,Rebecca Wanjala
BP-2026-0656,ADM-1114,Fridah Kimeu,Grade 2 A,Term 2,2026,4000,Cash,CSH-67789,Julius Kimeu,2026-06-07,Monica Wanjiru
BP-2026-0657,ADM-1114,Fridah Kimeu,Grade 2 A,Term 2,2026,3600,Cash,CSH-62106,Julius Kimeu,2026-06-09,Rebecca Wanjala
BP-2026-0658,ADM-1114,Fridah Kimeu,Grade 2 A,Term 3,2026,1700,M-PESA,QWH-18710,Julius Kimeu,2026-09-15,Andreah Smithh
BP-2026-0659,ADM-1114,Fridah Kimeu,Grade 2 A,Term 3,2026,2500,Cheque,CHQ-27161,Julius Kimeu,2026-09-28,Andreah Smithh
BP-2026-0660,ADM-1114,Fridah Kimeu,Grade 2 A,Term 3,2026,2300,M-PESA,QWH-52555,Julius Kimeu,2026-10-31,Rebecca Wanjala
BP-2026-0661,ADM-1115,Caleb Kioko,Grade 2 A,Term 1,2026,30000,M-PESA,QWH-77616,Nathaniel Kioko,2026-01-14,Andreah Smithh
BP-2026-0662,ADM-1115,Caleb Kioko,Grade 2 A,Term 2,2026,15000,M-PESA,QWH-80205,Nathaniel Kioko,2026-05-27,Monica Wanjiru
BP-2026-0663,ADM-1115,Caleb Kioko,Grade 2 A,Term 3,2026,5600,Bank Transfer,RTN-41534,Nathaniel Kioko,2026-09-15,Monica Wanjiru
BP-2026-0664,ADM-1116,Hillary Odhiambo,Grade 2 A,Term 1,2026,13800,Cash,CSH-56723,Charles Odhiambo,2026-01-08,Andreah Smithh
BP-2026-0665,ADM-1116,Hillary Odhiambo,Grade 2 A,Term 1,2026,16200,Cash,CSH-43606,Charles Odhiambo,2026-01-30,Andreah Smithh
BP-2026-0666,ADM-1116,Hillary Odhiambo,Grade 2 A,Term 2,2026,5700,M-PESA,QWH-34970,Charles Odhiambo,2026-05-18,Rebecca Wanjala
BP-2026-0667,ADM-1116,Hillary Odhiambo,Grade 2 A,Term 2,2026,4100,Cash,CSH-69787,Charles Odhiambo,2026-06-12,Rebecca Wanjala
BP-2026-0668,ADM-1116,Hillary Odhiambo,Grade 2 A,Term 2,2026,5200,M-PESA,QWH-63146,Charles Odhiambo,2026-06-25,Rebecca Wanjala
BP-2026-0669,ADM-1116,Hillary Odhiambo,Grade 2 A,Term 3,2026,4700,M-PESA,QWH-88831,Charles Odhiambo,2026-09-22,Andreah Smithh
BP-2026-0670,ADM-1117,Martin Zawadi,Grade 2 A,Term 1,2026,9500,M-PESA,QWH-82894,Charles Zawadi,2026-01-11,Rebecca Wanjala
BP-2026-0671,ADM-1117,Martin Zawadi,Grade 2 A,Term 1,2026,21500,Cash,CSH-25605,Charles Zawadi,2026-01-26,Andreah Smithh
BP-2026-0672,ADM-1117,Martin Zawadi,Grade 2 A,Term 2,2026,4500,Cheque,CHQ-45711,Charles Zawadi,2026-05-29,Monica Wanjiru
BP-2026-0673,ADM-1117,Martin Zawadi,Grade 2 A,Term 2,2026,9500,Cash,CSH-29289,Charles Zawadi,2026-06-17,Andreah Smithh
BP-2026-0674,ADM-1117,Martin Zawadi,Grade 2 A,Term 3,2026,1800,M-PESA,QWH-17225,Charles Zawadi,2026-09-21,Rebecca Wanjala
BP-2026-0675,ADM-1117,Martin Zawadi,Grade 2 A,Term 3,2026,4400,Cash,CSH-78520,Charles Zawadi,2026-10-07,Rebecca Wanjala
BP-2026-0676,ADM-1118,Alex Mwangi,Grade 2 A,Term 1,2026,9200,M-PESA,QWH-68942,Ibrahim Mwangi,2026-01-26,Monica Wanjiru
BP-2026-0677,ADM-1118,Alex Mwangi,Grade 2 A,Term 1,2026,10500,Bank Transfer,RTN-96791,Ibrahim Mwangi,2026-02-09,Andreah Smithh
BP-2026-0678,ADM-1118,Alex Mwangi,Grade 2 A,Term 1,2026,10300,Cash,CSH-89159,Ibrahim Mwangi,2026-02-18,Andreah Smithh
BP-2026-0679,ADM-1118,Alex Mwangi,Grade 2 A,Term 2,2026,7400,Cash,CSH-17041,Ibrahim Mwangi,2026-05-22,Andreah Smithh
BP-2026-0680,ADM-1118,Alex Mwangi,Grade 2 A,Term 2,2026,7600,Cheque,CHQ-62651,Ibrahim Mwangi,2026-06-14,Andreah Smithh
BP-2026-0681,ADM-1118,Alex Mwangi,Grade 2 A,Term 3,2026,4300,M-PESA,QWH-40807,Ibrahim Mwangi,2026-10-03,Monica Wanjiru
BP-2026-0682,ADM-1118,Alex Mwangi,Grade 2 A,Term 3,2026,4700,M-PESA,QWH-29805,Ibrahim Mwangi,2026-10-19,Monica Wanjiru
BP-2026-0683,ADM-1119,Sharon Githinji,Grade 2 A,Term 1,2026,30000,Cash,CSH-69432,Amos Githinji,2026-01-21,Rebecca Wanjala
BP-2026-0684,ADM-1119,Sharon Githinji,Grade 2 A,Term 2,2026,7000,Cheque,CHQ-48278,Amos Githinji,2026-05-15,Andreah Smithh
BP-2026-0685,ADM-1119,Sharon Githinji,Grade 2 A,Term 2,2026,3300,Bank Transfer,RTN-13536,Amos Githinji,2026-05-29,Monica Wanjiru
BP-2026-0686,ADM-1119,Sharon Githinji,Grade 2 A,Term 2,2026,4700,Cash,CSH-43086,Amos Githinji,2026-07-03,Monica Wanjiru
BP-2026-0687,ADM-1119,Sharon Githinji,Grade 2 A,Term 3,2026,9000,Cash,CSH-52057,Amos Githinji,2026-09-12,Monica Wanjiru
BP-2026-0688,ADM-1120,Shalom Syombua,Grade 2 A,Term 1,2026,15800,M-PESA,QWH-22152,Eric Syombua,2026-01-21,Monica Wanjiru
BP-2026-0689,ADM-1120,Shalom Syombua,Grade 2 A,Term 1,2026,14200,M-PESA,QWH-13717,Eric Syombua,2026-01-30,Rebecca Wanjala
BP-2026-0690,ADM-1120,Shalom Syombua,Grade 2 A,Term 2,2026,4700,Cheque,CHQ-63919,Eric Syombua,2026-05-14,Rebecca Wanjala
BP-2026-0691,ADM-1120,Shalom Syombua,Grade 2 A,Term 2,2026,5500,Bank Transfer,RTN-55812,Eric Syombua,2026-05-28,Monica Wanjiru
BP-2026-0692,ADM-1120,Shalom Syombua,Grade 2 A,Term 2,2026,4800,Cash,CSH-65772,Eric Syombua,2026-06-10,Andreah Smithh
BP-2026-0693,ADM-1120,Shalom Syombua,Grade 2 A,Term 3,2026,3600,Bank Transfer,RTN-31870,Eric Syombua,2026-10-04,Monica Wanjiru
BP-2026-0694,ADM-1120,Shalom Syombua,Grade 2 A,Term 3,2026,2400,Cheque,CHQ-73566,Eric Syombua,2026-10-19,Rebecca Wanjala
BP-2026-0695,ADM-1120,Shalom Syombua,Grade 2 A,Term 3,2026,3000,Cash,CSH-96224,Eric Syombua,2026-10-21,Monica Wanjiru
BP-2026-0696,ADM-1121,Faith Omar,Grade 2 A,Term 1,2026,13400,Bank Transfer,RTN-77663,Felix Omar,2026-01-11,Rebecca Wanjala
BP-2026-0697,ADM-1121,Faith Omar,Grade 2 A,Term 1,2026,16600,Bank Transfer,RTN-28201,Felix Omar,2026-02-09,Rebecca Wanjala
BP-2026-0698,ADM-1121,Faith Omar,Grade 2 A,Term 2,2026,6200,M-PESA,QWH-96731,Felix Omar,2026-05-22,Andreah Smithh
BP-2026-0699,ADM-1121,Faith Omar,Grade 2 A,Term 2,2026,4500,M-PESA,QWH-51521,Felix Omar,2026-05-23,Monica Wanjiru
BP-2026-0700,ADM-1121,Faith Omar,Grade 2 A,Term 2,2026,4300,Cash,CSH-52305,Felix Omar,2026-06-16,Rebecca Wanjala
BP-2026-0701,ADM-1121,Faith Omar,Grade 2 A,Term 3,2026,6200,Bank Transfer,RTN-73809,Felix Omar,2026-09-16,Andreah Smithh
BP-2026-0702,ADM-1122,Charles Mutoro,Grade 2 A,Term 1,2026,30000,M-PESA,QWH-92942,Edwin Mutoro,2026-01-22,Rebecca Wanjala
